,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LeBron James\jamesle01,32:23,.638,.643,.214,.143,11.1,22.4,17.5,65.5,0.0,2.5,21.2,24.1,129,90
Kyrie Irving\irvinky01,29:48,.646,.636,.318,.045,4.0,3.0,3.5,25.1,3.2,0.0,0.0,31.1,137,93
J.R. Smith\smithjr01,25:14,.308,.308,.615,.000,0.0,10.8,6.1,9.7,1.9,0.0,0.0,21.3,78,93
Kevin Love\loveke01,24:58,.567,.467,.400,.800,9.6,36.3,24.8,11.5,5.8,0.0,9.0,36.8,117,73
Tristan Thompson\thomptr01,22:25,.000,.000,.000,.000,10.7,16.2,13.8,0.0,0.0,0.0,66.7,5.5,42,94
Richard Jefferson\jefferi01,25:47,.825,.857,.429,.286,0.0,14.1,8.0,5.2,3.7,0.0,20.2,15.8,119,87
Mike Dunleavy\dunlemi02,22:32,.667,.667,.333,.000,0.0,16.1,9.2,10.5,6.4,0.0,0.0,5.5,153,80
Channing Frye\fryech01,14:09,.500,.500,.833,.000,17.0,12.8,14.6,0.0,3.4,5.7,14.3,20.4,99,84
Iman Shumpert\shumpim01,13:51,.333,.333,.333,.000,8.7,6.5,7.5,25.0,0.0,5.8,40.0,14.9,78,95
DeAndre Liggins\liggide01,12:00,.667,.667,.000,.000,0.0,22.6,12.9,32.4,0.0,6.7,25.0,13.8,120,87
Jordan McRae\mcraejo01,5:50,.250,.250,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.3,57,101
Chris Andersen\anderch01,5:34,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,14.4,0.0,7.4,200,92
James Jones\jonesja02,5:30,.868,.750,.500,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.6,181,101
Team Totals,240,.572,.548,.372,.202,27.5,75.5,54.8,68.9,12.0,8.3,12.0,100.0,117.1,88.1
