,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kristaps Porzingis\porzikr01,32:48,.512,.500,.385,.462,11.0,11.0,11.0,0.0,1.5,5.0,11.3,22.7,100,116
Carmelo Anthony\anthoca01,30:05,.503,.472,.222,.111,3.0,16.0,8.6,24.9,1.6,0.0,17.5,32.1,90,117
Derrick Rose\rosede01,29:35,.475,.441,.118,.118,6.1,4.1,5.2,7.9,0.0,2.8,18.3,31.2,83,123
Courtney Lee\leeco01,19:37,.000,.000,.400,.000,4.6,12.2,7.9,0.0,0.0,4.1,28.6,15.1,8,120
Joakim Noah\noahjo01,19:31,.000,.000,.000,.000,4.6,30.7,15.9,23.1,2.5,0.0,50.0,4.3,72,112
Justin Holiday\holidju01,26:27,.508,.429,.429,.286,3.4,22.7,11.7,12.8,1.8,0.0,0.0,12.6,122,116
Brandon Jennings\jennibr01,21:14,.363,.143,.571,.857,4.3,11.3,7.3,38.0,0.0,0.0,9.4,21.1,95,122
Lance Thomas\thomala01,16:37,.250,.250,.000,.000,0.0,7.2,3.1,9.9,5.8,0.0,20.0,12.7,51,111
Kyle O'Quinn\oquinky01,15:24,.333,.333,.667,.000,5.9,31.2,16.8,10.8,0.0,10.6,25.0,11.0,70,110
Willy Hernangomez\hernawi01,9:26,.667,.667,.000,.000,9.6,0.0,5.5,0.0,0.0,0.0,25.0,17.9,98,125
Mindaugas Kuzminskas\kuzmimi01,9:14,.700,.700,.600,.000,0.0,13.0,5.6,0.0,0.0,0.0,0.0,22.8,131,122
Ron Baker\bakerro01,6:44,.833,.833,.333,.000,0.0,17.8,7.7,0.0,0.0,0.0,0.0,18.8,153,121
Sasha Vujacic\vujacsa01,3:18,.266,.000,1.000,2.000,0.0,0.0,0.0,45.5,0.0,0.0,34.7,36.8,51,125
Team Totals,240,.459,.420,.310,.230,24.5,72.5,45.2,53.1,6.0,10.2,15.8,100.0,88.1,117.1
