,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kristaps Porzingis\porzikr01,32:48,5,13,.385,3,5,.600,3,6,.500,4,3,7,0,1,2,2,5,16,-21
Carmelo Anthony\anthoca01,30:05,8,18,.444,1,4,.250,2,2,1.000,1,4,5,3,1,0,4,5,19,-19
Derrick Rose\rosede01,29:35,7,17,.412,1,2,.500,2,2,1.000,2,1,3,1,0,1,4,1,17,-19
Courtney Lee\leeco01,19:37,0,5,.000,0,2,.000,0,0,,1,2,3,0,0,1,2,1,0,-19
Joakim Noah\noahjo01,19:31,0,1,.000,0,0,,0,0,,1,5,6,3,1,0,1,1,0,-1
Justin Holiday\holidju01,26:27,2,7,.286,2,3,.667,2,2,1.000,1,5,6,2,1,0,0,0,8,-14
Brandon Jennings\jennibr01,21:14,1,7,.143,0,4,.000,5,6,.833,1,2,3,5,0,0,1,2,7,-14
Lance Thomas\thomala01,16:37,1,4,.250,0,0,,0,0,,0,1,1,1,2,0,1,2,2,-11
Kyle O'Quinn\oquinky01,15:24,1,3,.333,0,2,.000,0,0,,1,4,5,1,0,2,1,3,2,-10
Willy Hernangomez\hernawi01,9:26,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,1,1,4,-3
Mindaugas Kuzminskas\kuzmimi01,9:14,3,5,.600,1,3,.333,0,0,,0,1,1,0,0,0,0,0,7,-4
Ron Baker\bakerro01,6:44,2,3,.667,1,1,1.000,0,0,,0,1,1,0,0,0,0,0,5,-5
Sasha Vujacic\vujacsa01,3:18,0,1,.000,0,1,.000,1,2,.500,0,0,0,1,0,0,1,1,1,-5
Team Totals,240,32,87,.368,9,27,.333,15,20,.750,13,29,42,17,6,6,18,22,88,
