,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant\duranke01,36:36,11,18,.611,1,3,.333,4,5,.800,0,10,10,4,2,2,0,2,27,-13
Stephen Curry\curryst01,34:06,9,18,.500,3,10,.300,5,6,.833,0,3,3,4,0,0,4,1,26,-9
Klay Thompson\thompkl01,33:21,5,13,.385,1,6,.167,0,0,,0,1,1,2,0,0,1,4,11,-6
Draymond Green\greendr01,32:37,7,14,.500,2,5,.400,2,2,1.000,5,7,12,6,5,1,2,2,18,-5
Zaza Pachulia\pachuza01,20:05,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,3,2,2,-3
Andre Iguodala\iguodan01,26:48,1,3,.333,0,2,.000,0,0,,1,1,2,3,1,0,1,3,2,-28
Ian Clark\clarkia01,13:22,2,8,.250,0,4,.000,1,2,.500,0,0,0,2,0,1,0,0,5,-30
Shaun Livingston\livinsh01,12:54,1,3,.333,0,1,.000,0,0,,0,2,2,0,1,0,1,0,2,-15
David West\westda01,10:39,1,2,.500,0,0,,0,0,,1,1,2,0,1,1,4,2,2,-13
Patrick McCaw\mccawpa01,9:00,1,3,.333,0,2,.000,0,0,,0,0,0,2,1,1,0,0,2,-3
JaVale McGee\mcgeeja01,3:41,1,2,.500,0,0,,0,1,.000,0,0,0,0,0,0,0,0,2,-6
Kevon Looney\looneke01,3:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-6
Anderson Varejao\varejan01,3:10,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,3,1,-8
Team Totals,240,40,85,.471,7,33,.212,13,18,.722,8,27,35,24,11,6,16,19,100,
