,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
LaMarcus Aldridge\aldrila01,35:11,.574,.525,.050,.300,22.7,19.5,21.2,12.3,1.4,0.0,8.1,27.5,135,105
Kawhi Leonard\leonaka01,32:03,.634,.476,.143,.714,9.4,7.1,8.3,14.0,7.6,0.0,6.8,36.2,145,94
Tony Parker\parketo01,26:28,.500,.500,.222,.000,0.0,13.0,6.0,18.3,0.0,0.0,18.2,16.3,106,109
Kyle Anderson\anderky01,22:24,1.500,1.500,1.000,.000,8.9,10.2,9.5,0.0,2.2,0.0,0.0,1.8,263,105
Pau Gasol\gasolpa01,18:16,.250,.250,.000,.000,0.0,25.0,11.7,5.9,0.0,0.0,20.0,10.7,61,106
Jonathon Simmons\simmojo02,28:10,.653,.679,.357,.214,3.6,12.2,7.6,15.3,0.0,3.3,11.5,24.1,129,107
Manu Ginobili\ginobma01,20:52,.500,.500,.600,.000,0.0,27.4,12.8,12.2,2.3,0.0,0.0,18.8,131,101
Patty Mills\millspa02,17:51,.611,.611,.556,.000,0.0,6.4,3.0,37.1,10.9,0.0,0.0,19.8,162,87
Dewayne Dedmon\dedmode01,16:34,.250,.250,.000,.000,24.1,27.6,25.8,0.0,2.9,11.1,20.0,11.8,89,92
David Lee\leeda02,11:08,.615,.500,.000,.500,26.9,30.8,28.7,22.5,0.0,0.0,29.1,24.2,118,105
Bryn Forbes\forbebr01,3:41,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,112
Nicolas Laprovittola\laproni01,3:41,,,,,0.0,0.0,0.0,55.5,0.0,0.0,100.0,10.6,74,111
Davis Bertans\bertada01,3:41,1.250,1.250,.500,.000,0.0,31.0,14.5,0.0,0.0,0.0,0.0,21.3,250,106
Team Totals,240,.589,.541,.245,.265,43.8,81.0,61.1,53.2,13.2,5.8,10.6,100.0,131.3,101.8
