,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Damian Lillard\lillada01,35:25,.814,.750,.300,.450,4.5,31.0,18.8,38.0,0.0,0.0,14.3,39.2,145,116
C.J. McCollum\mccolcj01,34:36,.655,.563,.125,.438,4.6,4.0,4.3,14.9,1.5,0.0,13.6,31.7,121,117
Al-Farouq Aminu\aminual01,28:24,.699,.667,.500,.167,0.0,19.3,10.4,5.0,1.9,0.0,13.4,13.0,120,114
Maurice Harkless\harklma01,22:21,.000,.000,.500,.000,0.0,6.1,3.3,5.5,4.7,0.0,50.0,8.9,18,110
Mason Plumlee\plumlma01,14:34,.250,.250,.000,.000,0.0,9.4,5.1,9.2,0.0,0.0,0.0,13.6,68,120
Allen Crabbe\crabbal01,29:09,.827,.800,.500,.200,0.0,14.1,7.6,17.0,0.0,0.0,15.5,21.9,138,119
Evan Turner\turneev01,26:01,.202,.143,.000,.143,0.0,26.4,14.2,24.8,2.0,3.2,0.0,14.2,83,109
Ed Davis\davised01,24:07,.773,.667,.000,.667,19.9,22.7,21.4,5.7,0.0,3.4,0.0,8.0,185,114
Noah Vonleh\vonleno01,16:06,1.100,1.100,.200,.000,0.0,8.5,4.6,0.0,0.0,5.1,0.0,15.4,220,115
Meyers Leonard\leoname01,9:15,.000,.000,.500,.000,0.0,14.8,8.0,13.3,0.0,0.0,0.0,10.7,36,119
Shabazz Napier\napiesh01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Pat Connaughton\connapa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jake Layman\laymaja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.667,.607,.253,.293,16.7,82.9,52.3,56.4,5.5,5.2,12.4,100.0,124.8,114.9
