,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Rudy Gobert\goberru01,40:57,.685,.571,.000,.571,13.4,39.1,25.2,6.6,0.0,4.2,25.5,13.8,121,125
George Hill\hillge01,38:45,.481,.417,.333,.222,0.0,8.3,3.8,23.7,2.7,2.2,4.8,25.7,107,124
Rodney Hood\hoodro01,37:39,.677,.618,.412,.294,0.0,8.5,3.9,4.5,2.8,2.3,0.0,24.5,139,124
Boris Diaw\diawbo01,32:10,.125,.125,.375,.000,4.3,9.9,6.9,0.0,0.0,0.0,11.1,13.4,34,133
Joe Johnson\johnsjo02,30:30,.859,.844,.250,.125,0.0,21.0,9.7,22.4,1.7,0.0,10.6,29.7,150,127
Trey Lyles\lylestr01,17:55,.417,.417,.333,.000,0.0,17.9,8.2,15.5,0.0,0.0,33.3,24.1,64,132
Shelvin Mack\macksh01,14:48,.400,.400,.200,.000,0.0,10.8,5.0,38.7,7.2,0.0,0.0,16.2,112,116
Joe Ingles\inglejo01,14:06,1.000,1.000,.000,.000,0.0,0.0,0.0,9.3,3.8,0.0,50.0,6.8,102,125
Dante Exum\exumda01,8:20,.563,.500,.250,.250,16.5,19.2,17.7,0.0,0.0,0.0,0.0,25.6,125,132
Jeff Withey\witheje01,4:51,,,,,0.0,33.0,15.2,0.0,10.9,17.7,,0.0,0,86
Raul Neto\netora01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Joel Bolomboy\bolomjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Derrick Favors\favorde01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.584,.537,.293,.195,17.1,83.3,47.7,47.5,9.9,8.9,11.0,100.0,114.9,124.8
