,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jeremy Lin\linje01,27:34,6,14,.429,2,5,.400,4,5,.800,1,2,3,3,0,1,2,1,18,-3
Trevor Booker\booketr01,24:23,4,5,.800,0,1,.000,0,0,,1,6,7,5,3,0,1,0,8,+5
Rondae Hollis-Jefferson\holliro01,23:35,1,3,.333,0,1,.000,3,4,.750,0,2,2,0,1,0,1,1,5,-9
Bojan Bogdanovic\bogdabo02,23:04,9,17,.529,3,8,.375,0,0,,2,3,5,0,1,0,2,2,21,+2
Brook Lopez\lopezbr01,21:12,1,7,.143,1,2,.500,4,4,1.000,2,3,5,0,0,0,2,1,7,-10
Justin Hamilton\hamilju01,25:20,7,12,.583,3,6,.500,2,3,.667,6,4,10,2,0,0,1,4,19,0
Joe Harris\harrijo01,25:15,6,15,.400,4,9,.444,0,0,,0,4,4,3,2,2,3,3,16,+3
Sean Kilpatrick\kilpase01,22:14,5,13,.385,1,6,.167,2,2,1.000,1,3,4,2,0,0,2,0,13,-7
Luis Scola\scolalu01,21:38,3,8,.375,1,5,.200,1,2,.500,0,1,1,3,0,0,2,3,8,-19
Greivis Vasquez\vasqugr01,18:14,0,1,.000,0,1,.000,0,0,,0,0,0,3,1,0,0,3,0,-13
Isaiah Whitehead\whiteis01,3:52,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+12
Chris McCullough\mcculch01,3:39,1,2,.500,0,0,,0,0,,2,0,2,0,0,0,0,0,2,+14
Anthony Bennett\bennean01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,97,.443,15,44,.341,16,20,.800,15,29,44,22,8,3,16,19,117,
