,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kemba Walker\walkeke02,35:04,.482,.433,.467,.400,0.0,2.7,1.4,33.0,2.8,0.0,10.2,24.5,103,102
Michael Kidd-Gilchrist\kiddgmi01,34:51,.595,.556,.111,.167,11.7,27.5,19.9,0.0,1.4,1.8,0.0,24.3,128,97
Nicolas Batum\batumni01,33:36,.402,.278,.778,.556,0.0,17.1,8.8,26.9,3.0,0.0,8.2,15.9,101,98
Roy Hibbert\hibbero01,31:51,.727,.667,.000,.333,12.8,18.1,15.5,14.6,0.0,9.9,16.2,16.9,135,94
Marvin Williams\willima02,28:54,.542,.542,.333,.000,7.1,26.6,17.1,10.5,0.0,2.2,7.7,19.7,109,99
Marco Belinelli\belinma01,26:26,.415,.375,.250,.125,0.0,14.5,7.5,5.3,0.0,0.0,0.0,14.0,92,105
Cody Zeller\zelleco01,14:15,.868,.833,.000,1.000,7.2,13.5,10.4,14.5,0.0,8.9,10.4,29.6,156,96
Ramon Sessions\sessira01,12:56,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,20.0,16.9,74,109
Spencer Hawes\hawessp01,12:41,.500,.500,.250,.000,0.0,15.1,7.8,35.0,0.0,5.0,33.3,20.7,81,100
Jeremy Lamb\lambje01,9:26,.000,.000,.000,.000,0.0,10.2,5.2,25.4,0.0,0.0,0.0,18.6,30,106
Christian Wood\woodch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Treveon Graham\grahatr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Aaron Harrison\harriaa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.537,.489,.258,.270,23.4,80.0,52.6,67.5,5.2,13.2,9.1,100.0,110.9,99.5
