,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kemba Walker\walkeke02,35:04,5,15,.333,3,7,.429,4,6,.667,0,1,1,8,2,0,2,2,17,+16
Michael Kidd-Gilchrist\kiddgmi01,34:51,10,18,.556,0,2,.000,3,3,1.000,4,10,14,0,1,1,0,1,23,+10
Nicolas Batum\batumni01,33:36,2,9,.222,1,7,.143,4,5,.800,0,6,6,7,2,0,1,2,9,+18
Roy Hibbert\hibbero01,31:51,6,9,.667,0,0,,3,3,1.000,4,6,10,3,0,5,2,4,15,+11
Marvin Williams\willima02,28:54,5,12,.417,3,4,.750,0,0,,2,8,10,2,0,1,1,4,13,+19
Marco Belinelli\belinma01,26:26,3,8,.375,0,2,.000,1,1,1.000,0,4,4,1,0,0,0,1,7,+5
Cody Zeller\zelleco01,14:15,5,6,.833,0,0,,5,6,.833,1,2,3,1,0,2,1,5,15,-3
Ramon Sessions\sessira01,12:56,2,4,.500,0,0,,0,0,,0,0,0,0,0,0,1,1,4,-5
Spencer Hawes\hawessp01,12:41,2,4,.500,0,1,.000,0,0,,0,2,2,3,0,1,2,1,4,-6
Jeremy Lamb\lambje01,9:26,0,4,.000,0,0,,0,0,,0,1,1,2,0,0,0,1,0,-10
Aaron Harrison\harriaa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Treveon Graham\grahatr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Christian Wood\woodch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,89,.449,7,23,.304,20,24,.833,11,40,51,27,5,10,10,22,107,
