,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Giannis Antetokounmpo\antetgi01,38:44,13,21,.619,1,2,.500,4,6,.667,1,8,9,5,1,1,1,5,31,-5
Jabari Parker\parkeja01,29:50,4,9,.444,1,1,1.000,4,4,1.000,2,4,6,3,0,0,3,3,13,-12
Matthew Dellavedova\dellama01,29:07,5,10,.500,1,3,.333,0,0,,0,3,3,3,0,0,2,3,11,-13
Mirza Teletovic\teletmi01,27:29,3,12,.250,0,5,.000,0,0,,0,2,2,1,0,0,1,1,6,-8
Miles Plumlee\plumlmi01,8:17,0,2,.000,0,0,,0,0,,0,1,1,1,1,1,0,0,0,-10
Greg Monroe\monrogr01,29:20,5,13,.385,0,0,,4,5,.800,5,5,10,3,1,3,1,0,14,+2
Malcolm Brogdon\brogdma01,21:25,3,9,.333,0,3,.000,2,2,1.000,0,6,6,5,0,0,0,2,8,0
Michael Beasley\beaslmi01,19:19,1,5,.200,0,0,,0,2,.000,1,1,2,1,1,0,0,1,2,+2
Jason Terry\terryja01,18:20,2,4,.500,0,1,.000,1,1,1.000,0,2,2,1,0,0,0,3,5,+5
John Henson\hensojo01,10:23,2,4,.500,0,0,,0,0,,1,3,4,0,0,0,0,2,4,-3
Rashad Vaughn\vaughra01,7:46,1,3,.333,0,1,.000,0,0,,0,1,1,0,0,0,0,2,2,-13
Steve Novak\novakst01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Thon Maker\makerth01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,92,.424,3,16,.188,15,20,.750,10,36,46,23,4,5,8,22,96,
