,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Monta Ellis\ellismo01,44:01,.745,.682,.182,.364,0.0,15.6,8.3,21.9,3.2,0.0,19.0,15.3,129,105
Paul George\georgpa01,42:46,.713,.643,.357,.571,0.0,18.4,9.8,19.4,0.0,0.0,10.2,19.5,135,112
Myles Turner\turnemy01,37:29,.708,.711,.105,.263,18.1,26.2,22.4,4.9,2.5,10.1,8.6,26.5,133,97
Jeff Teague\teaguje01,36:45,.483,.333,.200,.867,0.0,5.3,2.9,29.0,3.8,0.0,12.6,27.6,102,106
Thaddeus Young\youngth01,34:13,.550,.550,.100,.000,0.0,14.3,7.7,15.8,1.4,0.0,16.7,15.0,99,109
Rodney Stuckey\stuckro01,21:54,.546,.583,.333,.500,0.0,13.4,7.2,6.1,0.0,0.0,21.5,18.2,84,113
C.J. Miles\milescj01,12:33,.667,.667,.500,.000,0.0,0.0,0.0,12.3,7.4,0.0,0.0,20.4,129,99
Al Jefferson\jeffeal01,10:54,.543,.500,.000,.167,10.3,45.0,28.9,0.0,0.0,8.7,13.4,29.2,97,99
Lavoy Allen\allenla01,10:44,.333,.333,.000,.000,10.5,36.6,24.4,23.5,0.0,8.8,0.0,12.0,110,101
Glenn Robinson\robingl02,10:14,.000,.000,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16.7,0,116
Joe Young\youngjo01,3:27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,116
Kevin Seraphin\serapke01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Aaron Brooks\brookaa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,.602,.559,.204,.366,17.0,81.5,51.5,63.8,9.6,10.7,12.9,100.0,113.7,105.8
