,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Danilo Gallinari\gallida01,37:43,.588,.591,.545,.364,0.0,7.3,4.2,8.3,3.6,1.7,7.3,14.4,119,91
Will Barton\bartowi01,34:46,.751,.667,.250,.500,7.1,8.0,7.6,10.1,0.0,0.0,12.0,18.9,143,101
Emmanuel Mudiay\mudiaem01,28:06,.477,.250,.125,1.000,0.0,23.0,13.1,15.3,1.6,0.0,34.2,24.6,75,95
Jusuf Nurkic\nurkiju01,26:01,.735,.692,.000,.462,9.5,24.8,18.2,27.1,0.0,2.5,6.0,25.3,150,95
Nikola Jokic\jokicni01,21:08,.500,.500,.400,.000,5.8,26.2,17.5,14.0,0.0,0.0,44.4,16.8,68,98
Wilson Chandler\chandwi01,30:13,.389,.367,.400,.067,0.0,21.4,12.2,5.5,0.0,0.0,11.5,22.8,78,99
Kenneth Faried\farieke01,28:16,.387,.333,.111,.667,26.1,26.1,26.1,5.3,3.2,4.7,20.5,20.5,86,86
Jameer Nelson\nelsoja01,19:54,.563,.563,.500,.000,0.0,9.3,5.3,26.5,2.3,0.0,33.3,23.8,83,96
Jamal Murray\murraja01,13:15,.174,.000,.500,1.000,0.0,27.9,15.9,9.8,0.0,0.0,25.8,11.6,43,98
Juan Hernangomez\hernaju01,0:39,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,102
Jarnell Stokes\stokeja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malik Beasley\beaslma01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mike Miller\millemi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.549,.494,.289,.398,28.2,90.4,63.7,48.6,6.5,5.5,19.7,100.0,99.9,95.3
