,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Anthony Davis\davisan02,41:14,.603,.500,.059,.500,2.2,41.8,19.2,32.0,5.4,7.9,6.7,45.2,113,85
Tim Frazier\fraziti01,36:46,.638,.650,.300,.400,0.0,16.7,7.2,47.6,4.9,0.0,7.8,14.6,127,97
E'Twaun Moore\mooreet01,28:09,.563,.500,.500,.250,0.0,4.4,1.9,20.7,1.6,2.9,18.4,16.2,94,106
Solomon Hill\hillso01,27:03,.143,.143,.571,.000,0.0,4.6,2.0,4.9,1.7,0.0,22.2,14.0,27,107
Omer Asik\asikom01,16:32,.333,.333,.000,.000,0.0,7.4,3.2,8.3,0.0,0.0,0.0,7.6,74,110
Lance Stephenson\stephla01,25:30,.571,.571,.000,.000,3.6,9.7,6.2,18.5,1.8,0.0,22.2,14.8,92,106
Terrence Jones\joneste01,17:44,.436,.333,.167,.333,5.2,13.9,8.9,8.3,7.6,0.0,0.0,16.3,98,92
Buddy Hield\hieldbu01,16:50,.250,.250,.375,.000,5.5,0.0,3.1,26.5,0.0,0.0,0.0,19.9,69,112
Alexis Ajinca\ajincal01,10:52,.000,.000,.000,.000,8.5,0.0,4.9,0.0,0.0,0.0,0.0,7.7,36,111
Langston Galloway\gallola01,10:50,.460,.400,.200,.200,0.0,22.7,9.7,15.2,4.1,0.0,0.0,21.1,93,97
Dante Cunningham\cunnida01,8:30,.000,.000,.500,.000,0.0,0.0,0.0,14.9,0.0,0.0,33.3,14.8,15,112
Cheick Diallo\diallch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jrue Holiday\holidjr01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,.493,.429,.207,.283,9.6,71.8,36.3,81.6,14.9,8.5,9.6,100.0,95.3,99.9
