,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Anthony Davis\davisan02,41:14,17,34,.500,0,2,.000,16,17,.941,1,14,15,5,5,4,3,4,50,-3
Tim Frazier\fraziti01,36:46,6,10,.600,1,3,.333,2,4,.500,0,5,5,11,4,0,1,6,15,0
E'Twaun Moore\mooreet01,28:09,3,8,.375,2,4,.500,2,2,1.000,0,1,1,4,1,1,2,4,10,+10
Solomon Hill\hillso01,27:03,1,7,.143,0,4,.000,0,0,,0,1,1,1,1,0,2,4,2,+1
Omer Asik\asikom01,16:32,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,2,2,+3
Lance Stephenson\stephla01,25:30,4,7,.571,0,0,,0,0,,1,2,3,3,1,0,2,2,8,-4
Terrence Jones\joneste01,17:44,2,6,.333,0,1,.000,2,2,1.000,1,2,3,1,3,0,0,0,6,-14
Buddy Hield\hieldbu01,16:50,2,8,.250,0,3,.000,0,0,,1,0,1,3,0,0,0,1,4,-12
Alexis Ajinca\ajincal01,10:52,0,2,.000,0,0,,0,0,,1,0,1,0,0,0,0,4,0,-4
Langston Galloway\gallola01,10:50,2,5,.400,0,1,.000,1,1,1.000,0,2,2,1,1,0,0,1,5,-3
Dante Cunningham\cunnida01,8:30,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,1,0,+1
Cheick Diallo\diallch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jrue Holiday\holidjr01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,38,92,.413,3,19,.158,23,26,.885,5,28,33,31,16,5,11,29,102,
