,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kentavious Caldwell-Pope\caldwke01,38:49,2,9,.222,0,3,.000,0,0,,0,0,0,3,2,0,1,2,4,-15
Tobias Harris\harrito02,36:16,8,13,.615,1,2,.500,5,5,1.000,0,5,5,1,1,0,5,3,22,-21
Ish Smith\smithis01,33:15,3,10,.300,0,4,.000,0,0,,0,1,1,7,1,0,0,0,6,-19
Marcus Morris\morrima03,31:45,7,17,.412,2,8,.250,1,1,1.000,4,5,9,3,1,0,2,2,17,-8
Andre Drummond\drumman01,24:09,7,11,.636,0,0,,2,6,.333,1,5,6,0,1,0,4,5,16,-8
Jon Leuer\leuerjo01,22:34,3,8,.375,1,2,.500,2,2,1.000,1,8,9,0,1,0,1,3,9,-12
Aron Baynes\baynear01,15:22,3,4,.750,0,0,,2,2,1.000,1,2,3,0,0,0,0,5,8,-7
Beno Udrih\udrihbe01,14:45,1,5,.200,0,1,.000,3,4,.750,0,1,1,2,0,0,0,1,5,+1
Stanley Johnson\johnsst04,13:42,1,4,.250,0,1,.000,0,0,,0,3,3,1,0,0,0,1,2,0
Boban Marjanovic\marjabo01,5:03,0,1,.000,0,0,,0,0,,0,1,1,0,1,0,0,2,0,+1
Michael Gbinije\gbinimi01,2:10,0,1,.000,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,0,2,-1
Henry Ellenson\ellenhe01,2:10,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0,-1
Darrun Hilliard\hillida01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,84,.417,4,22,.182,17,22,.773,8,32,40,17,8,0,13,24,91,
