,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kyle Lowry\lowryky01,37:46,3,13,.231,1,5,.200,3,3,1.000,1,4,5,8,1,0,2,2,10,+2
Jonas Valanciunas\valanjo01,35:13,10,15,.667,0,0,,12,14,.857,6,5,11,1,0,0,1,4,32,+22
DeMar DeRozan\derozde01,34:28,17,27,.630,0,2,.000,6,6,1.000,1,3,4,1,1,0,6,1,40,+21
DeMarre Carroll\carrode01,29:26,2,8,.250,2,6,.333,2,4,.500,0,7,7,1,1,0,0,3,8,+21
Pascal Siakam\siakapa01,21:44,2,2,1.000,0,0,,0,0,,2,7,9,0,1,0,0,2,4,+16
Patrick Patterson\pattepa01,26:16,1,5,.200,0,2,.000,1,2,.500,0,4,4,1,1,0,0,2,3,+2
Cory Joseph\josepco01,21:36,3,6,.500,0,0,,0,0,,2,2,4,2,1,0,1,1,6,+12
Terrence Ross\rosste01,18:34,2,4,.500,0,1,.000,0,0,,0,4,4,3,2,0,1,2,4,-3
Jakob Poeltl\poeltja01,12:47,1,4,.250,0,0,,0,0,,2,0,2,0,0,0,0,5,2,-4
Norman Powell\powelno01,2:10,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,0,0,+1
Bruno Caboclo\cabocbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lucas Nogueira\noguelu01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Fred VanVleet\vanvlfr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,86,.477,3,18,.167,24,29,.828,14,37,51,17,8,0,11,22,109,
