,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Julius Randle\randlju01,29:11,.787,.818,.091,.091,0.0,30.3,14.8,32.7,0.0,2.9,14.9,19.4,143,115
D'Angelo Russell\russeda01,29:04,.577,.563,.625,.188,0.0,4.3,2.1,14.8,1.7,0.0,14.8,29.5,107,119
Luol Deng\denglu01,28:29,.389,.389,.444,.000,8.4,13.3,10.8,4.2,1.7,0.0,10.0,14.8,92,117
Nick Young\youngni01,26:34,.333,.333,.750,.000,0.0,14.3,6.9,4.6,0.0,3.2,0.0,19.1,81,118
Timofey Mozgov\mozgoti01,22:06,.600,.600,.000,.000,21.7,22.9,22.3,13.6,0.0,0.0,16.7,22.9,120,119
Jordan Clarkson\clarkjo01,24:35,.829,.750,.250,.583,4.9,10.3,7.5,6.6,5.9,0.0,21.0,32.8,132,109
Brandon Ingram\ingrabr01,23:40,.750,.750,.333,.000,0.0,16.0,7.8,0.0,0.0,0.0,14.3,12.5,124,120
Larry Nance\nancela02,23:20,.425,.400,.200,.400,15.4,10.8,13.2,10.1,2.1,3.6,0.0,10.6,128,114
Lou Williams\willilo02,14:26,.743,.600,.800,1.400,0.0,0.0,0.0,17.3,10.0,0.0,11.0,26.6,148,102
Tarik Black\blackta01,11:32,.694,.500,.000,1.000,10.4,32.9,21.3,0.0,4.2,0.0,25.8,14.2,118,107
Marcelo Huertas\huertma01,4:37,.000,.000,1.000,.000,0.0,0.0,0.0,69.3,0.0,18.2,0.0,9.1,121,112
Metta World Peace\artesro01,2:27,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,119
Thomas Robinson\robinth01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.608,.573,.393,.247,27.5,73.7,50.0,46.7,10.1,7.0,13.2,100.0,120.7,114.7
