,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Evan Fournier\fournev01,39:23,.453,.421,.316,.368,2.4,7.9,5.0,19.1,2.6,0.0,4.3,25.0,102,114
Elfrid Payton\paytoel01,37:30,.515,.333,.167,.667,5.0,5.6,5.3,22.2,0.0,3.2,20.5,22.2,100,118
Serge Ibaka\ibakase01,36:16,.412,.412,.235,.000,5.2,17.3,10.9,0.0,0.0,1.6,0.0,20.0,95,115
Nikola Vucevic\vucevni01,35:49,.539,.500,.000,.286,13.1,26.2,19.3,16.3,2.8,0.0,6.0,20.0,121,107
Aaron Gordon\gordoaa01,35:06,.500,.500,.250,.000,5.4,17.8,11.3,20.1,1.4,1.7,20.0,18.3,94,112
Jeff Green\greenje02,25:14,.400,.286,.286,.571,3.7,8.3,5.9,6.3,0.0,0.0,10.2,16.5,88,119
D.J. Augustin\augusdj01,16:32,.810,.667,.333,1.000,0.0,6.3,3.0,10.3,0.0,0.0,18.8,13.8,137,120
Mario Hezonja\hezonma01,14:10,.255,.200,.000,.400,13.3,7.4,10.5,22.1,0.0,0.0,0.0,17.7,87,119
C.J. Wilcox\wilcocj01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Damjan Rudez\rudezda01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bismack Biyombo\biyombi01,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
C.J. Watson\watsocj01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Arinze Onuaku\onuakar01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.474,.416,.202,.315,29.4,65.2,46.4,58.8,5.3,4.9,9.8,100.0,101.8,114.5
