,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Andrew Harrison\harrian01,38:12,.228,.143,.571,.571,3.1,5.1,4.2,14.5,1.4,0.0,25.5,14.1,61,113
Marc Gasol\gasolma01,32:27,.480,.441,.176,.235,3.6,6.0,4.9,11.5,0.0,8.7,17.6,32.1,88,110
Mike Conley\conlemi01,29:39,.741,.714,.357,.357,0.0,3.3,1.8,28.1,0.0,2.4,11.0,28.1,138,115
JaMychal Green\greenja01,28:43,.551,.500,.200,.200,16.3,10.2,13.0,5.7,0.0,2.5,8.4,18.9,122,112
James Ennis\ennisja01,28:11,.768,.750,.500,.500,4.2,17.4,11.4,0.0,1.9,0.0,0.0,15.8,160,107
Vince Carter\cartevi01,28:05,.307,.250,.500,.500,4.2,20.9,13.3,5.0,1.9,2.5,0.0,8.0,91,104
Zach Randolph\randoza01,24:33,.649,.625,.167,.500,4.8,39.9,23.9,8.8,0.0,0.0,12.0,31.0,118,101
Wade Baldwin\baldwwa01,24:31,.438,.438,.250,.000,9.6,12.0,10.9,39.0,6.4,8.6,11.1,16.8,117,94
Deyonta Davis\davisde01,5:39,,,,,0.0,34.7,18.9,0.0,0.0,12.5,,0.0,0,94
Jarell Martin\martija01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Troy Daniels\danietr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Troy Williams\willitr02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tony Allen\allento01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.555,.519,.300,.338,26.8,69.4,50.0,52.8,6.6,16.2,12.4,100.0,111.8,107.5
