,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Andrew Harrison\harrian01,38:12,1,7,.143,0,4,.000,2,4,.500,1,2,3,4,1,0,3,3,4,+8
Marc Gasol\gasolma01,32:27,7,17,.412,1,3,.333,3,4,.750,1,2,3,2,0,4,4,2,18,+4
Mike Conley\conlemi01,29:39,8,14,.571,4,5,.800,4,5,.800,0,1,1,4,0,1,2,5,24,-3
JaMychal Green\greenja01,28:43,4,10,.400,2,2,1.000,2,2,1.000,4,3,7,1,0,1,1,4,12,+3
James Ennis\ennisja01,28:11,5,8,.625,2,4,.500,3,4,.750,1,5,6,0,1,0,0,3,15,-13
Vince Carter\cartevi01,28:05,1,4,.250,0,2,.000,1,2,.500,1,6,7,1,1,1,0,3,3,+11
Zach Randolph\randoza01,24:33,7,12,.583,1,2,.500,4,6,.667,1,10,11,1,0,0,2,1,19,-1
Wade Baldwin\baldwwa01,24:31,3,8,.375,1,2,.500,0,0,,2,3,5,6,3,3,1,2,7,+4
Deyonta Davis\davisde01,5:39,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,2,0,+7
Tony Allen\allento01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Troy Williams\willitr02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Troy Daniels\danietr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jarell Martin\martija01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,80,.450,11,24,.458,19,27,.704,11,34,45,19,6,11,13,25,102,
