,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Karl-Anthony Towns\townska01,36:29,.514,.500,.250,.050,5.4,6.4,5.8,27.2,1.4,2.3,8.9,27.1,109,114
Andrew Wiggins\wiggian01,34:29,.620,.536,.071,1.000,11.4,10.2,10.8,0.0,0.0,2.5,9.0,28.4,125,116
Gorgui Dieng\dienggo01,34:01,.551,.500,.100,.200,14.4,31.0,22.0,9.8,3.1,2.5,0.0,14.1,137,103
Zach LaVine\lavinza01,33:50,.586,.536,.429,.357,0.0,17.3,7.9,15.5,1.6,0.0,11.0,23.7,114,112
Ricky Rubio\rubiori01,33:27,.278,.200,.200,1.000,2.9,10.5,6.4,33.2,0.0,0.0,21.7,12.1,83,117
Nemanja Bjelica\bjeline01,15:23,.307,.250,.250,.500,0.0,7.6,3.5,0.0,0.0,5.6,0.0,14.0,72,114
Kris Dunn\dunnkr01,15:13,.667,.667,.167,.000,6.4,23.1,14.0,13.5,3.5,0.0,14.3,20.3,118,105
Brandon Rush\rushbr01,13:39,.000,.000,.333,.000,0.0,17.2,7.8,9.8,0.0,0.0,25.0,12.9,14,116
Shabazz Muhammad\muhamsh01,13:31,.167,.167,.167,.000,7.2,8.7,7.9,0.0,0.0,0.0,0.0,19.6,51,119
Cole Aldrich\aldrico01,9:58,.500,.500,.000,.000,9.8,11.7,10.7,0.0,5.3,8.6,0.0,17.7,114,99
Adreian Payne\paynead01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Hill\hilljo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tyus Jones\jonesty01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.496,.453,.209,.337,30.6,73.2,50.0,55.6,6.6,8.9,9.2,100.0,107.5,111.8
