,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Russell Westbrook\westbru01,36:23,.619,.548,.095,.524,2.6,32.2,16.5,48.5,0.0,0.0,7.2,31.8,130,99
Steven Adams\adamsst01,35:33,.474,.438,.000,.125,5.3,9.0,7.0,4.6,4.0,0.0,10.6,22.1,95,93
Andre Roberson\roberan03,31:51,.133,.000,.000,2.000,5.9,16.7,11.0,11.6,3.0,2.5,0.0,4.9,83,92
Victor Oladipo\oladivi01,26:03,.289,.250,.313,.188,7.2,12.3,9.6,5.8,0.0,3.1,14.8,32.4,61,98
Domantas Sabonis\sabondo01,16:21,.500,.500,.600,.000,0.0,26.1,12.2,0.0,0.0,0.0,0.0,12.7,105,99
Enes Kanter\kanteen01,24:00,.539,.500,.000,.286,19.6,31.1,25.0,0.0,2.0,3.3,0.0,27.3,124,91
Kyle Singler\singlky01,21:31,.363,.250,.833,.333,0.0,5.0,2.3,0.0,0.0,0.0,12.7,15.2,71,102
Ersan Ilyasova\ilyaser01,20:03,.714,.714,.714,.000,4.7,21.3,12.5,8.1,2.4,0.0,0.0,14.5,150,95
Semaj Christon\chrisse01,14:51,.400,.400,.200,.000,0.0,7.2,3.4,39.7,0.0,0.0,0.0,14.0,111,102
Alex Abrines\abrinal01,13:24,.750,.750,.500,.000,0.0,8.0,3.7,0.0,0.0,0.0,50.0,12.4,64,101
Anthony Morrow\morroan01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nick Collison\collini01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Joffrey Lauvergne\lauvejo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.488,.447,.234,.277,25.5,88.9,55.2,48.7,7.0,5.0,8.7,100.0,102.6,96.7
