,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Russell Westbrook\westbru01,36:23,11,21,.524,1,2,.500,9,11,.818,1,11,12,9,0,0,2,2,32,+10
Steven Adams\adamsst01,35:33,7,16,.438,0,0,,2,2,1.000,2,3,5,1,3,0,2,4,16,+13
Andre Roberson\roberan03,31:51,0,2,.000,0,0,,1,4,.250,2,5,7,3,2,1,0,3,1,+10
Victor Oladipo\oladivi01,26:03,4,16,.250,0,5,.000,2,3,.667,2,3,5,1,0,1,3,2,10,-5
Domantas Sabonis\sabondo01,16:21,2,5,.400,1,3,.333,0,0,,0,4,4,0,0,0,0,2,5,-10
Enes Kanter\kanteen01,24:00,7,14,.500,0,0,,3,4,.750,5,7,12,0,1,1,0,3,17,+9
Kyle Singler\singlky01,21:31,1,6,.167,1,5,.200,2,2,1.000,0,1,1,0,0,0,1,2,5,+8
Ersan Ilyasova\ilyaser01,20:03,4,7,.571,2,5,.400,0,0,,1,4,5,1,1,0,0,1,10,-2
Semaj Christon\chrisse01,14:51,2,5,.400,0,1,.000,0,0,,0,1,1,4,0,0,0,1,4,-8
Alex Abrines\abrinal01,13:24,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,2,3,3,+5
Joffrey Lauvergne\lauvejo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nick Collison\collini01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Anthony Morrow\morroan01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,94,.415,6,22,.273,19,26,.731,13,40,53,19,7,3,10,23,103,
