,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Robert Covington\covinro01,31:56,.727,.667,.667,.333,3.3,11.8,7.8,9.5,3.0,2.1,0.0,9.6,150,101
Sergio Rodriguez\rodrise01,31:51,.545,.545,.545,.000,0.0,11.8,6.3,47.7,0.0,0.0,0.0,15.3,127,109
Dario Saric\saricda01,27:27,.194,.167,.333,.167,3.9,20.6,12.8,10.8,0.0,0.0,13.4,24.1,45,105
Gerald Henderson\hendege02,24:47,.654,.667,.500,.333,0.0,7.6,4.0,0.0,0.0,0.0,0.0,12.3,122,110
Joel Embiid\embiijo01,22:25,.512,.406,.188,.500,0.0,29.4,15.6,0.0,0.0,5.9,17.0,46.6,83,97
Nik Stauskas\stausni01,22:32,.888,.833,.167,.500,0.0,16.7,8.9,8.4,0.0,0.0,0.0,14.4,180,107
Jerami Grant\grantje01,21:51,.425,.400,.100,.400,0.0,12.9,6.9,0.0,0.0,6.1,14.5,28.0,70,103
T.J. McConnell\mccontj01,16:09,,,,,0.0,11.7,6.2,57.8,5.9,0.0,100.0,2.8,134,95
Jahlil Okafor\okafoja01,15:42,.400,.400,.000,.000,6.8,12.0,9.6,0.0,0.0,4.2,23.1,36.8,61,105
Hollis Thompson\thompho01,13:28,.340,.400,.400,.400,7.9,14.0,11.1,0.0,3.6,5.0,0.0,19.4,75,96
Richaun Holmes\holmeri01,11:52,1.042,1.000,.000,1.000,9.0,15.9,12.6,0.0,0.0,16.9,25.8,14.5,153,94
Timothe Luwawu-Cabarrot\luwawti01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.511,.470,.286,.298,11.1,74.5,44.8,58.3,5.0,13.9,12.0,100.0,96.7,102.6
