,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Ty Lawson\lawsoty01,35:37,.455,.389,.444,.222,9.9,9.9,9.9,23.6,2.8,2.2,16.8,14.5,111,95
Rudy Gay\gayru01,33:11,.656,.633,.200,.267,0.0,10.6,5.3,9.3,0.0,9.5,0.0,22.0,138,95
Arron Afflalo\afflaar01,26:13,.508,.429,.286,.286,0.0,13.4,6.7,0.0,1.9,0.0,0.0,13.1,111,97
DeMarcus Cousins\couside01,24:40,.704,.600,.100,1.600,4.7,23.7,14.2,12.0,2.0,0.0,15.0,35.3,128,94
Kosta Koufos\koufoko01,13:23,.155,.167,.000,.167,0.0,35.0,17.5,8.9,0.0,0.0,13.4,24.2,38,96
Matt Barnes\barnema02,27:37,.778,.778,.556,.000,4.2,25.4,14.8,15.5,0.0,0.0,10.0,15.7,144,98
Willie Cauley-Stein\caulewi01,19:06,.500,.500,.000,.000,6.1,6.1,6.1,13.8,0.0,0.0,14.3,15.9,103,103
Garrett Temple\templga01,17:51,.750,.750,.125,.000,6.6,6.6,6.6,29.0,0.0,0.0,20.0,24.3,124,103
Ben McLemore\mclembe01,16:44,.403,.429,.286,.143,0.0,0.0,0.0,16.2,0.0,0.0,11.8,21.9,82,105
Anthony Tolliver\tollian01,14:49,.500,.500,.500,.000,15.8,23.7,19.8,18.9,0.0,0.0,0.0,17.6,127,99
Omri Casspi\casspom01,8:32,1.000,1.000,.000,.000,13.7,27.4,20.6,0.0,5.8,0.0,50.0,20.4,89,86
Malachi Richardson\richama01,2:17,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0,102
Darren Collison\collida01,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
Team Totals,240,.580,.547,.244,.302,24.4,75.6,50.0,54.5,5.2,8.2,11.8,100.0,116.8,97.1
