,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ty Lawson\lawsoty01,35:37,3,9,.333,1,4,.250,2,2,1.000,3,3,6,7,2,1,2,2,9,+2
Rudy Gay\gayru01,33:11,9,15,.600,1,3,.333,3,4,.750,0,3,3,2,0,4,0,1,22,+26
Arron Afflalo\afflaar01,26:13,2,7,.286,2,2,1.000,2,2,1.000,0,3,3,0,1,0,0,3,8,+6
DeMarcus Cousins\couside01,24:40,6,10,.600,0,1,.000,12,16,.750,1,5,6,2,1,0,3,4,24,+14
Kosta Koufos\koufoko01,13:23,1,6,.167,0,0,,0,1,.000,0,4,4,1,0,0,1,1,2,+12
Matt Barnes\barnema02,27:37,6,9,.667,2,5,.400,0,0,,1,6,7,3,0,0,1,4,14,+12
Willie Cauley-Stein\caulewi01,19:06,3,6,.500,0,0,,0,0,,1,1,2,2,0,0,1,1,6,-1
Garrett Temple\templga01,17:51,6,8,.750,0,1,.000,0,0,,1,1,2,3,0,0,2,2,12,+7
Ben McLemore\mclembe01,16:44,3,7,.429,0,2,.000,0,1,.000,0,0,0,2,0,0,1,0,6,+21
Anthony Tolliver\tollian01,14:49,3,6,.500,0,3,.000,0,0,,2,3,5,2,0,0,0,1,6,-7
Omri Casspi\casspom01,8:32,2,2,1.000,0,0,,0,0,,1,2,3,0,1,0,2,0,4,+7
Malachi Richardson\richama01,2:17,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Darren Collison\collida01,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
Team Totals,240,44,86,.512,6,21,.286,19,26,.731,10,31,41,24,5,5,13,20,113,
