,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Avery Bradley\bradlav01,40:36,6,12,.500,1,3,.333,3,4,.750,1,5,6,5,0,1,2,2,16,-10
Jae Crowder\crowdja01,35:26,4,6,.667,1,2,.500,5,5,1.000,1,5,6,1,2,0,1,4,14,-2
Isaiah Thomas\thomais02,34:47,10,15,.667,3,7,.429,2,6,.333,0,3,3,4,2,0,5,2,25,-6
Al Horford\horfoal01,30:03,4,9,.444,0,2,.000,3,4,.750,0,7,7,5,0,1,1,5,11,-3
Amir Johnson\johnsam01,15:47,2,4,.500,0,0,,1,2,.500,0,1,1,1,0,1,0,3,5,-11
Terry Rozier\roziete01,22:39,3,7,.429,2,5,.400,0,0,,0,4,4,4,2,0,0,1,8,0
Jaylen Brown\brownja02,20:26,4,7,.571,0,1,.000,0,0,,0,1,1,1,0,0,1,3,8,-5
Tyler Zeller\zellety01,20:18,3,9,.333,0,0,,0,1,.000,1,4,5,1,0,2,1,3,6,+2
Gerald Green\greenge01,10:20,1,4,.250,0,2,.000,0,0,,0,2,2,0,0,1,0,0,2,+7
Jonas Jerebko\jerebjo01,9:38,1,3,.333,1,1,1.000,1,2,.500,0,1,1,0,0,0,0,2,4,-2
Demetrius Jackson\jacksde01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Young\youngja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Mickey\mickejo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,76,.500,8,23,.348,15,24,.625,3,33,36,22,6,6,11,25,99,
