,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Jimmy Butler\butleji01,36:36,.539,.471,.353,.706,7.7,13.1,10.1,14.0,2.8,0.0,0.0,24.9,131,102
Rajon Rondo\rondora01,33:16,.202,.167,.222,.222,0.0,21.6,9.5,37.6,3.1,0.0,16.8,14.6,76,101
Dwyane Wade\wadedw01,32:25,.557,.500,.333,.222,5.8,14.8,9.8,28.9,0.0,2.8,13.2,28.8,114,105
Taj Gibson\gibsota01,27:41,.648,.615,.000,.154,6.8,34.7,19.1,7.8,0.0,0.0,12.6,23.5,118,107
Robin Lopez\lopezro01,27:28,.410,.375,.000,.500,20.6,8.7,15.4,5.7,0.0,0.0,9.3,16.0,105,109
Nikola Mirotic\mirotni01,29:00,.631,.591,.545,.182,6.5,29.0,16.4,6.3,0.0,0.0,20.2,21.0,106,107
Doug McDermott\mcderdo01,21:52,.425,.400,.200,.400,0.0,5.5,2.4,6.9,0.0,0.0,14.5,12.9,84,109
Michael Carter-Williams\cartemi01,17:10,.417,.417,.167,.000,16.4,21.0,18.4,27.6,0.0,0.0,0.0,14.3,129,107
Cristiano Felicio\feliccr01,7:45,.694,.500,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,158,108
Isaiah Canaan\canaais01,6:47,.000,.000,1.000,.000,0.0,35.4,15.6,19.7,7.5,0.0,0.0,18.1,24,91
Bobby Portis\portibo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Denzel Valentine\valende01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Paul Zipser\zipsepa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.499,.451,.272,.326,35.3,92.5,60.4,69.4,5.3,1.9,10.2,100.0,111.5,105.1
