,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler\butleji01,36:36,6,17,.353,4,6,.667,8,12,.667,3,4,7,3,2,0,0,2,24,+8
Rajon Rondo\rondora01,33:16,1,9,.111,1,2,.500,1,2,.500,0,6,6,9,2,0,2,1,4,+3
Dwyane Wade\wadedw01,32:25,7,18,.389,4,6,.667,4,4,1.000,2,4,6,5,0,1,3,4,22,+15
Taj Gibson\gibsota01,27:41,8,13,.615,0,0,,2,2,1.000,2,8,10,1,0,0,2,2,18,+11
Robin Lopez\lopezro01,27:28,3,8,.375,0,0,,2,4,.500,6,2,8,1,0,0,1,2,8,+5
Nikola Mirotic\mirotni01,29:00,6,11,.545,1,6,.167,2,2,1.000,2,7,9,1,0,0,3,3,15,-1
Doug McDermott\mcderdo01,21:52,2,5,.400,0,1,.000,1,2,.500,0,1,1,1,0,0,1,2,5,-5
Michael Carter-Williams\cartemi01,17:10,2,6,.333,1,1,1.000,0,0,,3,3,6,3,0,0,0,3,5,+3
Cristiano Felicio\feliccr01,7:45,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,2,4,-7
Isaiah Canaan\canaais01,6:47,0,3,.000,0,3,.000,0,0,,0,2,2,1,1,0,0,0,0,-2
Bobby Portis\portibo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Paul Zipser\zipsepa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Denzel Valentine\valende01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,92,.391,11,25,.440,22,30,.733,18,37,55,25,5,1,12,21,105,
