,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Blake Griffin\griffbl01,36:33,.520,.432,.136,.409,12.2,25.0,17.8,10.4,3.9,2.0,3.7,29.9,120,99
Chris Paul\paulch01,33:15,.611,.553,.421,.368,0.0,17.2,7.5,30.1,1.4,0.0,4.3,28.2,133,107
J.J. Redick\redicjj01,29:47,.450,.438,.625,.250,0.0,11.5,5.0,5.0,0.0,0.0,18.4,14.8,81,111
DeAndre Jordan\jordade01,28:11,.263,.286,.000,1.429,22.1,20.3,21.3,0.0,0.0,2.5,8.1,17.9,81,107
Luc Mbah a Moute\mbahalu01,17:00,.174,.000,.000,1.000,5.2,13.4,8.8,0.0,0.0,4.2,0.0,6.9,64,108
Austin Rivers\riverau01,26:10,.500,.500,.375,.000,0.0,17.5,7.6,12.4,1.8,0.0,0.0,12.4,116,106
Jamal Crawford\crawfja01,25:45,.483,.292,.500,.667,0.0,13.3,5.8,5.9,7.4,0.0,6.1,26.0,106,96
Raymond Felton\feltora01,16:10,.667,.667,.000,.000,0.0,7.1,3.1,9.6,2.9,0.0,25.0,10.0,105,106
Marreese Speights\speigma01,15:37,.677,.625,.375,.875,11.4,0.0,6.4,0.0,0.0,0.0,0.0,28.8,150,113
Wesley Johnson\johnswe01,11:31,.615,.500,.500,.500,0.0,19.8,8.7,0.0,0.0,6.2,0.0,8.6,135,104
Alan Anderson\anderal01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Brandon Bass\bassbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Diamond Stone\stonedi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.512,.451,.319,.505,27.8,78.6,50.0,32.4,9.9,6.0,5.9,100.0,113.1,105.2
