,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Blake Griffin\griffbl01,36:33,9,22,.409,1,3,.333,8,9,.889,5,8,13,2,3,1,1,5,27,-10
Chris Paul\paulch01,33:15,9,19,.474,3,8,.375,6,7,.857,0,5,5,5,1,0,1,2,27,-4
J.J. Redick\redicjj01,29:47,3,8,.375,1,5,.200,1,2,.500,0,3,3,1,0,0,2,2,8,-7
DeAndre Jordan\jordade01,28:11,2,7,.286,0,0,,2,10,.200,7,5,12,0,0,1,1,5,6,-8
Luc Mbah a Moute\mbahalu01,17:00,0,2,.000,0,0,,1,2,.500,1,2,3,0,0,1,0,0,1,-8
Austin Rivers\riverau01,26:10,4,8,.500,0,3,.000,0,0,,0,4,4,2,1,0,0,2,8,+4
Jamal Crawford\crawfja01,25:45,3,12,.250,1,6,.167,8,8,1.000,0,3,3,1,4,0,1,2,15,+18
Raymond Felton\feltora01,16:10,2,3,.667,0,0,,0,0,,0,1,1,1,1,0,1,2,4,+17
Marreese Speights\speigma01,15:37,4,8,.500,2,3,.667,5,7,.714,2,0,2,0,0,0,0,3,15,+20
Wesley Johnson\johnswe01,11:31,1,2,.500,0,1,.000,1,1,1.000,0,2,2,0,0,1,0,2,3,+18
Diamond Stone\stonedi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Brandon Bass\bassbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Alan Anderson\anderal01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,91,.407,8,29,.276,32,46,.696,15,33,48,12,10,4,7,25,114,
