,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
C.J. McCollum\mccolcj01,38:01,5,12,.417,1,1,1.000,5,6,.833,0,4,4,2,3,0,3,2,16,-18
Damian Lillard\lillada01,36:11,11,24,.458,2,5,.400,5,7,.714,1,9,10,3,0,0,4,6,29,+14
Maurice Harkless\harklma01,32:18,10,15,.667,1,3,.333,2,2,1.000,5,3,8,2,0,0,0,4,23,+9
Mason Plumlee\plumlma01,30:30,7,9,.778,0,0,,3,6,.500,2,6,8,4,0,3,2,4,17,+4
Al-Farouq Aminu\aminual01,24:58,0,6,.000,0,5,.000,1,2,.500,0,8,8,2,0,1,2,4,1,+2
Allen Crabbe\crabbal01,31:35,3,7,.429,0,2,.000,4,4,1.000,0,1,1,4,0,0,0,4,10,-7
Evan Turner\turneev01,23:13,2,8,.250,0,1,.000,0,0,,1,5,6,1,0,0,2,1,4,-11
Ed Davis\davised01,12:33,0,1,.000,0,0,,0,0,,0,3,3,0,1,0,0,4,0,-19
Noah Vonleh\vonleno01,9:47,1,3,.333,0,1,.000,4,5,.800,0,0,0,0,0,0,1,3,6,-13
Shabazz Napier\napiesh01,0:55,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1
Jake Layman\laymaja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Pat Connaughton\connapa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Meyers Leonard\leoname01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,85,.459,4,18,.222,24,32,.750,9,39,48,18,4,4,14,34,106,
