,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
DeMarcus Cousins\couside01,37:13,10,22,.455,3,5,.600,14,16,.875,3,13,16,2,1,0,3,3,37,-2
Ty Lawson\lawsoty01,35:44,3,7,.429,0,2,.000,1,2,.500,1,3,4,9,1,0,1,1,7,+1
Arron Afflalo\afflaar01,35:36,3,9,.333,1,3,.333,0,0,,0,4,4,1,1,0,0,1,7,+4
Rudy Gay\gayru01,32:21,3,10,.300,1,3,.333,10,12,.833,0,7,7,2,2,0,1,4,17,+1
Kosta Koufos\koufoko01,23:38,4,7,.571,0,0,,0,0,,2,5,7,3,1,0,3,2,8,+2
Matt Barnes\barnema02,26:55,1,4,.250,1,3,.333,0,0,,0,0,0,1,1,0,2,3,3,-14
Anthony Tolliver\tollian01,15:07,0,2,.000,0,2,.000,2,2,1.000,0,0,0,0,0,0,2,1,2,-12
Garrett Temple\templga01,12:16,0,2,.000,0,2,.000,0,0,,0,0,0,3,0,0,0,2,0,-9
Willie Cauley-Stein\caulewi01,10:47,1,3,.333,0,0,,1,2,.500,0,0,0,0,0,0,1,2,3,-6
Ben McLemore\mclembe01,10:23,3,4,.750,0,0,,4,4,1.000,0,2,2,1,0,0,2,2,10,-5
Darren Collison\collida01,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended,Player Suspended
Omri Casspi\casspom01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malachi Richardson\richama01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,28,70,.400,6,20,.300,32,38,.842,6,34,40,22,7,0,15,21,94,
