,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kawhi Leonard\leonaka01,34:55,11,21,.524,1,5,.200,7,7,1.000,0,3,3,5,5,0,1,5,30,+4
LaMarcus Aldridge\aldrila01,31:40,5,13,.385,0,1,.000,6,8,.750,2,3,5,1,0,0,1,4,16,-10
Kyle Anderson\anderky01,26:41,1,2,.500,0,0,,0,0,,0,8,8,3,1,1,1,1,2,-9
Tony Parker\parketo01,25:14,0,6,.000,0,1,.000,4,4,1.000,0,0,0,2,1,0,0,1,4,-12
Pau Gasol\gasolpa01,20:33,3,7,.429,1,1,1.000,0,0,,0,6,6,1,1,1,3,2,7,-13
Dewayne Dedmon\dedmode01,24:13,5,6,.833,0,0,,2,2,1.000,4,3,7,0,0,4,0,4,12,+21
Patty Mills\millspa02,22:46,2,7,.286,2,4,.500,0,0,,0,1,1,1,0,0,0,1,6,+20
Manu Ginobili\ginobma01,19:22,3,9,.333,2,6,.333,0,0,,0,3,3,5,0,1,1,2,8,+19
Jonathon Simmons\simmojo02,18:16,1,2,.500,0,0,,3,4,.750,1,1,2,3,0,0,2,3,5,+2
David Lee\leeda02,16:20,5,6,.833,0,0,,2,2,1.000,2,3,5,2,2,1,0,3,12,+18
Bryn Forbes\forbebr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nicolas Laprovittola\laproni01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Davis Bertans\bertada01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,36,79,.456,6,18,.333,24,27,.889,9,31,40,23,10,8,9,26,102,
