,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Paul Millsap\millspa01,30:48,.643,.625,.300,.200,7.4,15.6,11.9,34.8,0.0,2.1,8.4,31.7,134,101
Dwight Howard\howardw01,30:08,.511,.444,.000,.444,26.5,38.2,32.9,8.5,1.5,6.5,21.8,18.7,109,87
Kent Bazemore\bazemke01,26:08,.400,.214,.571,.571,0.0,11.0,6.0,4.4,1.8,0.0,31.3,20.0,66,99
Dennis Schroder\schrode01,25:08,.583,.583,.333,.000,0.0,7.6,4.2,11.7,1.8,0.0,25.0,26.1,90,100
Kyle Korver\korveky01,21:41,.625,.625,.750,.000,0.0,13.3,7.2,22.4,2.1,0.0,33.3,11.4,106,98
Mike Muscala\muscami01,25:41,.654,.583,.333,.333,4.4,11.2,8.1,4.9,3.6,7.6,0.0,11.0,152,90
Tim Hardaway\hardati02,22:49,.756,.731,.385,.154,5.0,4.2,4.6,7.7,0.0,0.0,0.0,25.0,158,106
Thabo Sefolosha\sefolth01,21:59,.732,.813,.125,.250,15.6,17.5,16.6,35.3,10.6,0.0,10.1,18.5,148,80
Malcolm Delaney\delanma01,19:58,.286,.286,.143,.000,0.0,4.8,2.6,30.7,2.3,0.0,30.0,20.6,71,100
Kris Humphries\humphkr01,9:23,.000,.000,.000,.000,0.0,30.7,16.7,0.0,0.0,0.0,50.0,8.8,0,98
Taurean Waller-Prince\princta02,3:51,,,,,0.0,0.0,0.0,28.3,12.1,0.0,100.0,10.7,47,81
DeAndre' Bembry\bembrde01,2:26,1.000,1.000,.000,.000,0.0,39.5,21.4,0.0,0.0,0.0,0.0,16.9,200,95
Edy Tavares\tavarwa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.594,.568,.295,.205,33.3,76.0,56.5,63.6,12.6,9.5,18.0,100.0,110.2,95.7
