,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul Millsap\millspa01,30:48,11,20,.550,3,6,.500,3,4,.750,2,5,7,6,0,1,2,0,28,+21
Dwight Howard\howardw01,30:08,4,9,.444,0,0,,3,4,.750,7,12,19,2,1,3,3,2,11,+6
Kent Bazemore\bazemke01,26:08,1,7,.143,1,4,.250,4,4,1.000,0,3,3,1,1,0,4,4,7,-2
Dennis Schroder\schrode01,25:08,6,12,.500,2,4,.500,0,0,,0,2,2,2,1,0,4,3,14,-1
Kyle Korver\korveky01,21:41,2,4,.500,1,3,.333,0,0,,0,3,3,4,1,0,2,3,5,-4
Mike Muscala\muscami01,25:41,3,6,.500,1,2,.500,2,2,1.000,1,3,4,1,2,3,0,2,9,+2
Tim Hardaway\hardati02,22:49,8,13,.615,3,5,.600,2,2,1.000,1,1,2,1,0,0,0,0,21,+23
Thabo Sefolosha\sefolth01,21:59,6,8,.750,1,1,1.000,0,2,.000,3,4,7,5,5,0,1,2,13,+19
Malcolm Delaney\delanma01,19:58,2,7,.286,0,1,.000,0,0,,0,1,1,5,1,0,3,2,4,+13
Kris Humphries\humphkr01,9:23,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,1,0,0,+1
Taurean Waller-Prince\princta02,3:51,0,0,,0,0,,0,0,,0,0,0,1,1,0,1,1,0,-4
DeAndre' Bembry\bembrde01,2:26,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+1
Edy Tavares\tavarwa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,88,.500,12,26,.462,14,18,.778,14,38,52,28,13,7,21,19,114,
