,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Marcin Gortat\gortama01,32:16,.333,.333,.000,.000,8.9,28.3,17.8,4.0,1.4,2.4,33.3,11.1,63,108
John Wall\walljo01,30:17,.332,.200,.133,.467,6.3,3.8,5.2,45.0,6.1,2.6,21.7,30.3,78,105
Markieff Morris\morrima02,27:39,.583,.556,.167,.111,3.5,12.4,7.5,14.2,3.4,2.8,0.0,27.1,122,109
Otto Porter\porteot01,25:48,.672,.714,.000,.143,7.4,17.7,12.1,6.1,3.6,0.0,0.0,11.4,140,108
Bradley Beal\bealbr01,23:42,.523,.500,.167,.083,0.0,0.0,0.0,29.1,0.0,0.0,19.4,25.9,91,122
Kelly Oubre\oubreke01,22:12,.322,.250,.667,.667,0.0,5.1,2.4,5.7,2.1,0.0,0.0,13.9,78,116
Marcus Thornton\thornma01,20:05,.313,.313,.375,.000,0.0,5.7,2.6,6.8,0.0,0.0,11.1,17.8,63,120
Andrew Nicholson\nichoan01,18:51,.654,.583,.333,.333,10.2,30.3,19.4,0.0,2.5,4.1,12.7,16.6,121,105
Trey Burke\burketr01,17:43,.538,.571,.286,.143,0.0,0.0,0.0,18.6,2.6,0.0,21.2,21.2,86,116
Jason Smith\smithja02,8:48,.500,.500,.000,.000,10.9,51.9,29.6,31.6,0.0,0.0,66.7,27.1,50,106
Sheldon Mac\mcclesh01,4:13,.875,.875,.500,.000,0.0,0.0,0.0,0.0,22.0,0.0,0.0,37.7,160,71
Tomas Satoransky\satorto01,4:13,1.000,1.000,.000,.000,22.8,0.0,12.4,39.8,0.0,0.0,0.0,9.4,205,122
Daniel Ochefu\ochefda01,4:13,.000,.000,.000,.000,0.0,27.1,12.4,0.0,0.0,0.0,0.0,18.8,0,114
Team Totals,240,.486,.457,.213,.191,24.0,66.7,43.5,62.5,13.5,6.5,15.7,100.0,95.7,110.2
