,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcin Gortat\gortama01,32:16,2,6,.333,0,0,,0,0,,3,8,11,1,1,1,3,4,4,-14
John Wall\walljo01,30:17,3,15,.200,0,2,.000,6,7,.857,2,1,3,10,4,1,5,2,12,-9
Markieff Morris\morrima02,27:39,9,18,.500,2,3,.667,2,2,1.000,1,3,4,2,2,1,0,2,22,-7
Otto Porter\porteot01,25:48,5,7,.714,0,0,,0,1,.000,2,4,6,1,2,0,0,2,10,-5
Bradley Beal\bealbr01,23:42,6,12,.500,0,2,.000,1,1,1.000,0,0,0,4,0,0,3,4,13,-16
Kelly Oubre\oubreke01,22:12,1,6,.167,1,4,.250,2,4,.500,0,1,1,1,1,0,0,1,5,-10
Marcus Thornton\thornma01,20:05,2,8,.250,1,3,.333,0,0,,0,1,1,1,0,0,1,2,5,-3
Andrew Nicholson\nichoan01,18:51,3,6,.500,1,2,.500,2,2,1.000,2,5,7,0,1,1,1,1,9,-10
Trey Burke\burketr01,17:43,4,7,.571,0,2,.000,0,1,.000,0,0,0,2,1,0,2,0,8,-6
Jason Smith\smithja02,8:48,1,2,.500,0,0,,0,0,,1,4,5,2,0,0,4,2,2,-7
Sheldon Mac\mcclesh01,4:13,3,4,.750,1,2,.500,0,0,,0,0,0,0,2,0,0,0,7,+4
Tomas Satoransky\satorto01,4:13,1,1,1.000,0,0,,0,0,,1,0,1,1,0,0,0,0,2,+4
Daniel Ochefu\ochefda01,4:13,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+4
Team Totals,240,40,94,.426,6,20,.300,13,18,.722,12,28,40,25,14,4,19,20,99,
