,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Marvin Williams\willima02,33:32,.583,.583,.333,.000,0.0,33.5,15.6,4.7,2.9,2.8,14.3,9.1,100,86
Nicolas Batum\batumni01,31:27,.403,.357,.500,.143,5.7,13.0,9.1,21.1,3.1,0.0,16.8,24.7,83,95
Kemba Walker\walkeke02,31:06,.546,.444,.278,.500,0.0,3.3,1.5,25.5,3.2,0.0,0.0,30.7,123,98
Michael Kidd-Gilchrist\kiddgmi01,28:22,.255,.200,.000,.400,6.3,10.8,8.4,5.1,1.7,13.0,14.5,10.5,68,90
Roy Hibbert\hibbero01,4:29,.000,.000,.000,.000,0.0,22.8,10.6,0.0,0.0,0.0,0.0,9.7,0,97
Marco Belinelli\belinma01,28:23,.607,.556,.333,.222,0.0,3.6,1.7,12.0,1.7,0.0,0.0,15.1,131,101
Cody Zeller\zelleco01,23:13,.536,.500,.000,.375,7.7,4.4,6.1,7.7,4.3,4.0,9.7,19.3,108,93
Jeremy Lamb\lambje01,22:22,.621,.583,.167,.167,7.9,27.4,17.0,10.7,0.0,4.1,0.0,25.0,132,93
Spencer Hawes\hawessp01,20:12,.460,.400,.100,.200,17.6,25.3,21.2,18.6,0.0,9.1,15.5,27.7,97,91
Ramon Sessions\sessira01,16:54,.152,.111,.222,.222,5.3,18.1,11.2,35.3,0.0,0.0,0.0,25.4,59,99
Christian Wood\woodch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Treveon Graham\grahatr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Brian Roberts\roberbr01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.473,.418,.239,.261,24.1,76.6,48.5,57.1,10.3,17.3,7.2,100.0,99.8,93.6
