,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Dion Waiters\waitedi01,34:06,.385,.406,.438,.125,3.0,15.6,9.8,16.9,1.4,0.0,15.1,24.6,75,99
Goran Dragic\dragigo01,33:50,.526,.458,.417,.250,3.0,7.9,5.6,48.5,1.5,0.0,23.1,21.6,104,102
Justise Winslow\winslju01,32:02,.336,.321,.429,.143,0.0,16.6,8.9,28.8,0.0,0.0,21.2,24.9,68,102
Hassan Whiteside\whiteha01,26:49,.710,.727,.000,.636,19.0,33.1,26.6,0.0,0.0,5.1,22.1,28.4,110,91
Luke Babbitt\babbilu01,19:48,.600,.600,.800,.000,0.0,13.5,7.2,0.0,0.0,0.0,0.0,10.7,119,103
Tyler Johnson\johnsty01,28:48,.551,.500,.400,.200,3.5,15.4,9.9,0.0,0.0,0.0,8.4,17.4,106,102
James Johnson\johnsja01,23:17,.000,.000,.500,.000,0.0,22.9,12.2,6.4,0.0,2.9,25.0,14.5,8,97
Willie Reed\reedwi02,21:05,.735,.667,.000,1.333,9.7,4.2,6.8,0.0,0.0,0.0,17.4,11.5,131,107
Rodney McGruder\mcgruro01,20:15,.500,.500,.556,.000,5.0,4.4,4.7,9.5,0.0,3.4,0.0,18.7,111,104
Josh Richardson\richajo01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Udonis Haslem\hasleud01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Derrick Williams\willide02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh McRoberts\mcrobjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.480,.453,.395,.233,23.4,75.9,51.5,59.4,2.1,5.7,16.7,100.0,93.6,99.8
