,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kevin Durant\duranke01,39:06,9,19,.474,0,3,.000,12,12,1.000,0,17,17,6,2,2,2,2,30,+4
Klay Thompson\thompkl01,38:57,11,21,.524,2,9,.222,4,4,1.000,0,2,2,4,1,0,1,0,28,+4
Stephen Curry\curryst01,34:04,8,19,.421,4,10,.400,3,4,.750,1,0,1,8,1,0,4,3,23,+4
Draymond Green\greendr01,34:04,3,10,.300,1,2,.500,1,2,.500,4,7,11,7,2,0,3,5,8,0
Zaza Pachulia\pachuza01,17:23,4,6,.667,0,0,,2,2,1.000,2,9,11,1,0,0,2,2,10,-2
Andre Iguodala\iguodan01,30:05,4,7,.571,1,3,.333,0,0,,0,2,2,3,1,0,0,3,9,+16
Shaun Livingston\livinsh01,15:14,2,3,.667,0,0,,0,0,,0,1,1,1,0,0,1,2,4,-2
Patrick McCaw\mccawpa01,9:59,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,1,0,0,1,3,-2
David West\westda01,8:43,1,3,.333,0,0,,1,2,.500,1,0,1,0,0,0,1,2,3,+2
Kevon Looney\looneke01,7:01,1,1,1.000,0,0,,2,2,1.000,1,2,3,2,0,0,0,2,4,+13
Ian Clark\clarkia01,5:24,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
JaVale McGee\mcgeeja01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Anderson Varejao\varejan01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,91,.484,9,28,.321,25,28,.893,9,40,49,32,8,2,14,22,122,
