,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Anthony Davis\davisan02,39:58,.605,.565,.065,.452,13.9,28.7,20.8,13.6,2.2,3.8,2.6,37.2,127,108
Tim Frazier\fraziti01,34:21,.569,.583,.167,.056,8.1,9.1,8.6,42.3,0.0,0.0,14.0,24.3,114,120
E'Twaun Moore\mooreet01,26:06,.333,.333,.333,.000,0.0,12.0,5.6,12.7,5.1,0.0,25.0,11.9,65,107
Solomon Hill\hillso01,24:04,.307,.250,.250,.500,0.0,4.3,2.0,17.7,3.7,0.0,17.0,9.5,80,112
Omer Asik\asikom01,7:46,1.000,1.000,.000,.000,0.0,40.3,18.9,0.0,0.0,0.0,50.0,10.0,75,113
Dante Cunningham\cunnida01,32:01,.682,.682,.545,.000,0.0,26.1,12.2,0.0,0.0,4.8,8.3,14.6,117,112
Lance Stephenson\stephla01,30:52,.588,.545,.091,.364,6.0,20.3,12.7,24.8,0.0,0.0,13.6,18.6,118,117
Buddy Hield\hieldbu01,18:35,.167,.167,.333,.000,0.0,5.6,2.6,5.8,0.0,4.1,25.0,16.8,33,117
Langston Galloway\gallola01,13:39,.000,.000,.571,.000,0.0,0.0,0.0,0.0,3.3,0.0,0.0,20.0,0,114
Terrence Jones\joneste01,12:38,.595,.600,.200,.400,7.3,8.3,7.8,21.3,0.0,0.0,0.0,18.1,134,120
Cheick Diallo\diallch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Alexis Ajinca\ajincal01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jrue Holiday\holidjr01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,.518,.495,.220,.230,23.1,80.4,50.0,61.7,7.4,7.9,10.6,100.0,105.8,113.2
