,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Harrison Barnes\barneha02,38:50,13,23,.565,2,4,.500,3,3,1.000,1,4,5,1,1,0,1,2,31,-9
Wesley Matthews\matthwe02,37:24,4,14,.286,1,8,.125,4,4,1.000,0,4,4,1,1,0,1,3,13,-6
Deron Williams\willide01,34:02,5,11,.455,1,4,.250,3,4,.750,0,0,0,4,1,0,3,3,14,-9
J.J. Barea\bareajo01,29:09,3,10,.300,1,3,.333,3,4,.750,1,4,5,5,1,0,0,3,10,-8
Andrew Bogut\bogutan01,26:45,2,4,.500,0,0,,0,0,,1,11,12,0,1,0,2,3,4,+2
Seth Curry\curryse01,20:23,3,6,.500,1,4,.250,1,1,1.000,0,0,0,1,0,0,0,4,8,-1
Justin Anderson\anderju01,20:10,2,5,.400,1,3,.333,4,6,.667,1,2,3,0,2,1,2,0,9,-12
Dwight Powell\poweldw01,19:49,1,1,1.000,0,0,,0,0,,2,2,4,0,3,1,0,2,2,-16
Quincy Acy\acyqu01,7:44,1,5,.200,1,3,.333,0,0,,0,1,1,0,0,0,0,1,3,-5
Salah Mejri\mejrisa01,1:26,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+6
Nicolas Brussino\brussni01,1:26,0,0,,0,0,,2,2,1.000,0,0,0,0,1,0,0,0,2,+6
Dorian Finney-Smith\finnedo01,1:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+6
A.J. Hammons\hammoaj01,1:26,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+6
Team Totals,240,35,80,.438,8,29,.276,20,24,.833,6,28,34,13,11,2,9,21,98,
