,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
James Harden\hardeja01,35:51,.644,.611,.500,.278,4.1,19.1,12.5,51.1,1.4,0.0,16.5,31.9,120,105
Trevor Ariza\arizatr01,35:40,.922,.875,.583,.500,0.0,12.8,7.2,0.0,1.4,0.0,0.0,19.4,178,107
Eric Gordon\gordoer01,33:02,.719,.611,.667,.889,0.0,13.8,7.7,32.1,0.0,0.0,13.8,20.8,139,110
Clint Capela\capelca01,25:07,.400,.400,.000,.000,11.6,31.9,22.9,0.0,2.1,3.7,37.5,15.0,64,99
Ryan Anderson\anderry01,24:40,.500,.500,.200,.000,5.9,13.9,10.4,0.0,0.0,0.0,28.6,13.4,74,110
K.J. McDaniels\mcdankj01,22:14,.643,.643,.571,.000,6.5,5.1,5.8,0.0,4.6,0.0,22.2,19.1,94,101
Nene Hilario\hilarne01,19:09,.549,.000,.000,6.000,0.0,17.9,10.0,15.2,2.7,0.0,21.6,22.9,102,103
Tyler Ennis\ennisty01,14:53,.000,.000,.500,.000,0.0,7.7,4.3,39.1,0.0,0.0,33.3,9.5,73,111
Sam Dekker\dekkesa01,12:46,.333,.333,.667,.000,0.0,35.8,20.1,0.0,0.0,0.0,25.0,14.8,48,106
Corey Brewer\breweco01,10:54,.500,.500,.400,.000,0.0,21.0,11.7,18.2,0.0,0.0,16.7,26.0,87,108
Montrezl Harrell\harremo01,3:44,1.000,1.000,.000,.000,0.0,30.6,17.1,0.0,0.0,0.0,0.0,12.6,200,106
Kyle Wiltjer\wiltjky01,1:00,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111
Bobby Brown\brownbo02,1:00,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.2,0,112
Team Totals,240,.634,.579,.457,.443,15.2,85.7,54.7,63.6,6.4,2.0,17.7,100.0,113.9,105.3
