,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
James Harden\hardeja01,35:51,9,18,.500,4,9,.444,4,5,.800,1,6,7,8,1,0,4,4,26,+7
Trevor Ariza\arizatr01,35:40,8,12,.667,5,7,.714,6,6,1.000,0,4,4,0,1,0,0,3,27,+7
Eric Gordon\gordoer01,33:02,4,9,.444,3,6,.500,7,8,.875,0,4,4,6,0,0,2,2,18,+18
Clint Capela\capelca01,25:07,2,5,.400,0,0,,0,0,,2,7,9,0,1,1,3,1,4,+15
Ryan Anderson\anderry01,24:40,2,5,.400,1,1,1.000,0,0,,1,3,4,0,0,0,2,2,5,+5
K.J. McDaniels\mcdankj01,22:14,4,7,.571,1,4,.250,0,0,,1,1,2,0,2,0,2,1,9,+2
Nene Hilario\hilarne01,19:09,0,2,.000,0,0,,8,12,.667,0,3,3,2,1,0,2,1,8,+3
Tyler Ennis\ennisty01,14:53,0,2,.000,0,1,.000,0,0,,0,1,1,4,0,0,1,3,0,-5
Sam Dekker\dekkesa01,12:46,1,3,.333,0,2,.000,0,0,,0,4,4,0,0,0,1,2,2,-1
Corey Brewer\breweco01,10:54,2,5,.400,1,2,.500,0,0,,0,2,2,1,0,0,1,1,5,+7
Montrezl Harrell\harremo01,3:44,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-10
Kyle Wiltjer\wiltjky01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-4
Bobby Brown\brownbo02,1:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
Team Totals,240,33,70,.471,15,32,.469,25,31,.806,5,36,41,21,6,1,18,22,106,
