,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Jeremy Lin\linje01,34:27,.677,.583,.333,.667,0.0,23.2,12.4,42.3,0.0,1.9,11.4,21.8,139,93
Bojan Bogdanovic\bogdabo02,28:10,.291,.167,.333,.333,0.0,3.2,1.7,0.0,0.0,2.3,0.0,10.5,69,101
Trevor Booker\booketr01,26:55,.455,.455,.182,.000,7.6,29.7,19.4,12.3,1.8,0.0,8.3,19.1,100,88
Brook Lopez\lopezbr01,25:56,.606,.556,.222,.333,11.8,6.9,9.2,9.5,1.9,0.0,19.5,42.4,101,97
Rondae Hollis-Jefferson\holliro01,24:33,.200,.200,.400,.000,8.3,10.9,9.7,10.8,2.0,0.0,16.7,10.5,70,95
Justin Hamilton\hamilju01,28:21,.474,.438,.750,.125,7.2,15.7,11.7,5.1,0.0,2.3,10.6,14.3,102,96
Sean Kilpatrick\kilpase01,25:22,.818,.818,.364,.000,4.0,14.0,9.4,7.6,1.9,0.0,15.4,22.0,131,94
Joe Harris\harrijo01,17:55,.429,.429,.857,.000,0.0,14.9,8.0,8.2,2.7,0.0,12.5,19.2,83,92
Luis Scola\scolalu01,14:48,.333,.333,.333,.000,13.8,18.0,16.1,10.3,3.2,0.0,25.0,23.2,70,89
Greivis Vasquez\vasqugr01,13:33,.579,.500,.333,1.000,0.0,6.6,3.5,20.6,0.0,4.8,18.8,16.9,110,97
Isaiah Whitehead\whiteis01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Anthony Bennett\bennean01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Chris McCullough\mcculch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.538,.494,.379,.230,25.5,74.1,51.5,52.6,6.0,5.4,14.3,100.0,103.2,94.1
