,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Paul George\georgpa01,36:07,.463,.409,.364,.182,2.5,22.6,11.8,10.1,2.7,0.0,4.0,27.5,99,100
Thaddeus Young\youngth01,35:34,.690,.667,.250,.333,7.5,11.5,9.4,14.7,1.4,2.5,0.0,15.5,150,105
Monta Ellis\ellismo01,32:57,.427,.417,.000,.167,2.7,3.1,2.9,19.6,2.9,0.0,23.7,20.5,76,105
Myles Turner\turnemy01,32:54,.528,.455,.182,.273,13.5,18.6,15.9,0.0,0.0,8.1,7.5,16.2,113,102
Jeff Teague\teaguje01,28:32,.154,.154,.308,.000,3.1,10.7,6.7,35.0,1.7,0.0,18.8,22.5,51,106
C.J. Miles\milescj01,20:48,.718,.700,.500,.100,8.5,24.5,16.0,0.0,0.0,0.0,8.7,22.0,128,105
Glenn Robinson\robingl02,13:13,.250,.250,.000,.000,6.7,7.7,7.2,21.8,3.6,0.0,0.0,12.1,84,102
Joe Young\youngjo01,12:58,.436,.417,.167,.333,0.0,15.8,7.3,12.5,0.0,0.0,0.0,21.3,99,108
Al Jefferson\jeffeal01,11:59,.200,.200,.000,.000,0.0,17.0,7.9,24.3,0.0,7.4,37.5,26.7,37,103
Lavoy Allen\allenla01,6:27,.000,.000,.500,1.000,0.0,15.8,7.4,0.0,0.0,13.8,0.0,17.9,0,99
Rodney Stuckey\stuckro01,3:43,.000,.000,.000,.000,0.0,27.5,12.8,34.9,0.0,0.0,0.0,10.8,46,104
Kevin Seraphin\serapke01,3:07,.000,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0,113
Georges Niang\niangge01,1:41,,,,,0.0,60.7,28.2,0.0,0.0,0.0,,0.0,0,93
Team Totals,240,.440,.413,.245,.204,25.9,74.5,48.5,59.5,7.0,11.1,10.9,100.0,94.1,103.2
