,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Paul George\georgpa01,36:07,8,22,.364,2,8,.250,4,4,1.000,1,8,9,2,2,0,1,2,22,-4
Thaddeus Young\youngth01,35:34,7,12,.583,2,3,.667,3,4,.750,3,4,7,3,1,1,0,0,19,-7
Monta Ellis\ellismo01,32:57,5,12,.417,0,0,,1,2,.500,1,1,2,4,2,0,4,5,11,-5
Myles Turner\turnemy01,32:54,5,11,.455,0,2,.000,3,3,1.000,5,6,11,0,0,3,1,4,13,-4
Jeff Teague\teaguje01,28:32,2,13,.154,0,4,.000,0,0,,1,3,4,7,1,0,3,3,4,-3
C.J. Miles\milescj01,20:48,6,10,.600,2,5,.400,1,1,1.000,2,5,7,0,0,0,1,4,15,-10
Glenn Robinson\robingl02,13:13,1,4,.250,0,0,,0,0,,1,1,2,2,1,0,0,0,2,-4
Joe Young\youngjo01,12:58,2,6,.333,1,1,1.000,1,2,.500,0,2,2,1,0,0,0,2,6,-2
Al Jefferson\jeffeal01,11:59,1,5,.200,0,0,,0,0,,0,2,2,2,0,1,3,2,2,-8
Lavoy Allen\allenla01,6:27,0,2,.000,0,1,.000,0,2,.000,0,1,1,0,0,1,0,0,0,-6
Rodney Stuckey\stuckro01,3:43,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+2
Kevin Seraphin\serapke01,3:07,0,0,,0,0,,0,2,.000,0,0,0,0,0,0,0,0,0,+3
Georges Niang\niangge01,1:41,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+3
Team Totals,240,37,98,.378,7,24,.292,13,20,.650,14,35,49,22,7,6,13,22,94,
