,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Luol Deng\denglu01,34:03,.500,.500,.417,.000,6.3,31.3,18.8,0.0,3.1,2.8,7.7,17.1,100,94
D'Angelo Russell\russeda01,31:53,.278,.250,.357,.357,6.7,10.0,8.4,27.4,3.3,0.0,19.8,28.4,64,103
Julius Randle\randlju01,27:20,.500,.500,.143,.000,3.9,11.7,7.8,6.6,0.0,7.0,22.2,14.7,85,106
Nick Young\youngni01,23:33,.674,.500,.286,.857,0.0,0.0,0.0,0.0,0.0,4.1,0.0,18.3,147,111
Timofey Mozgov\mozgoti01,23:03,.565,.250,.000,1.750,4.6,23.1,13.9,7.0,2.3,8.3,12.4,15.7,117,95
Lou Williams\willilo02,27:16,.660,.625,.333,.167,0.0,0.0,0.0,49.3,1.9,0.0,7.2,22.8,138,110
Jordan Clarkson\clarkjo01,25:28,.222,.222,.333,.000,0.0,8.4,4.2,0.0,0.0,3.8,25.0,21.1,35,109
Larry Nance\nancela02,16:08,.563,.625,.500,.250,0.0,19.8,9.9,0.0,0.0,0.0,0.0,12.3,112,106
Marcelo Huertas\huertma01,15:03,.333,.333,.000,.000,7.1,21.3,14.2,37.3,0.0,0.0,25.0,23.8,73,106
Tarik Black\blackta01,10:08,.667,.667,.000,.000,42.1,31.6,36.8,0.0,0.0,0.0,0.0,26.5,146,101
Brandon Ingram\ingrabr01,4:11,.500,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,101,113
Thomas Robinson\robinth01,1:54,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,0,111
Metta World Peace\artesro01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.477,.435,.274,.250,24.4,71.1,47.8,50.0,6.5,14.0,13.1,100.0,96.6,104.2
