,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
George Hill\hillge01,35:18,.640,.571,.500,.643,0.0,9.1,4.5,19.0,0.0,2.2,5.3,24.2,134,101
Rodney Hood\hoodro01,32:21,.463,.429,.571,.357,0.0,19.8,9.9,6.3,1.6,0.0,5.8,23.9,98,95
Rudy Gobert\goberru01,31:52,.519,.444,.000,.889,20.1,23.4,21.8,6.0,0.0,9.9,7.4,19.1,120,91
Joe Johnson\johnsjo02,31:50,.463,.409,.364,.182,6.7,16.8,11.7,12.1,0.0,0.0,7.8,18.2,105,100
Boris Diaw\diawbo01,18:24,.000,.000,.000,.000,5.8,11.6,8.7,16.8,0.0,0.0,50.0,4.9,64,102
Shelvin Mack\macksh01,22:34,.507,.500,.125,.250,0.0,18.9,9.5,9.5,2.3,0.0,10.1,19.7,98,94
Dante Exum\exumda01,21:31,.694,.500,.500,1.000,0.0,0.0,0.0,15.5,0.0,0.0,25.8,8.1,120,107
Derrick Favors\favorde01,20:04,.633,.571,.000,1.571,21.3,21.3,21.3,22.3,5.2,7.8,29.7,37.8,102,81
Trey Lyles\lylestr01,17:50,.355,.313,.500,.125,0.0,12.0,6.0,0.0,0.0,0.0,10.6,23.8,71,102
Joe Ingles\inglejo01,8:16,.000,.000,.000,.000,0.0,12.9,6.5,0.0,0.0,0.0,50.0,10.9,0,101
Jeff Withey\witheje01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Joel Bolomboy\bolomjo01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Raul Neto\netora01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.518,.453,.333,.533,28.9,75.6,52.2,45.2,4.3,11.5,13.1,100.0,104.2,96.6
