,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Marcus Morris\morrima03,29:04,.589,.571,.357,.071,4.2,19.9,13.6,13.6,0.0,0.0,12.2,24.8,111,89
Andre Drummond\drumman01,27:34,.403,.357,.000,.143,17.9,48.0,35.9,4.4,3.7,0.0,6.3,25.2,96,66
Tobias Harris\harrito02,27:19,.563,.563,.313,.000,0.0,12.1,7.2,10.4,3.7,2.5,11.1,28.8,102,83
Ish Smith\smithis01,26:00,.615,.615,.000,.000,0.0,6.4,3.8,44.4,1.9,0.0,13.3,25.3,122,92
Kentavious Caldwell-Pope\caldwke01,23:57,.460,.400,.600,.200,0.0,3.5,2.1,4.6,4.2,0.0,15.5,11.8,87,88
Jon Leuer\leuerjo01,28:13,.500,.500,.286,.000,8.7,20.5,15.8,7.9,0.0,4.9,12.5,12.4,107,85
Stanley Johnson\johnsst04,28:02,.375,.375,.500,.000,4.4,0.0,1.8,7.4,0.0,2.5,33.3,9.4,73,97
Beno Udrih\udrihbe01,19:32,.650,.650,.100,.000,0.0,8.5,5.1,36.9,0.0,0.0,0.0,22.4,144,95
Aron Baynes\baynear01,17:58,.732,.750,.000,.250,6.9,9.2,8.3,8.4,2.8,0.0,0.0,21.6,150,89
Michael Gbinije\gbinimi01,4:57,.000,.000,1.000,.000,0.0,0.0,0.0,20.2,0.0,0.0,0.0,8.8,55,98
Henry Ellenson\ellenhe01,2:28,1.000,1.000,.000,.000,0.0,100.0,60.2,0.0,0.0,0.0,0.0,17.7,200,48
Boban Marjanovic\marjabo01,2:28,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5,98,100
Darrun Hilliard\hillida01,2:28,,,,,0.0,0.0,0.0,40.5,0.0,0.0,100.0,17.7,44,100
Team Totals,240,.553,.542,.200,.063,23.1,75.9,54.6,56.3,8.4,5.8,10.9,100.0,113.3,86.1
