,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marcus Morris\morrima03,29:04,7,14,.500,2,5,.400,1,1,1.000,1,7,8,3,0,0,2,0,17,+13
Andre Drummond\drumman01,27:34,5,14,.357,0,0,,2,2,1.000,4,16,20,1,2,0,1,1,12,+19
Tobias Harris\harrito02,27:19,8,16,.500,2,5,.400,0,0,,0,4,4,2,2,1,2,2,18,+22
Ish Smith\smithis01,26:00,8,13,.615,0,0,,0,0,,0,2,2,8,1,0,2,1,16,+21
Kentavious Caldwell-Pope\caldwke01,23:57,2,5,.400,0,3,.000,1,1,1.000,0,1,1,1,2,0,1,1,5,+17
Jon Leuer\leuerjo01,28:13,3,7,.429,1,2,.500,0,0,,2,7,9,2,0,2,1,1,7,+18
Stanley Johnson\johnsst04,28:02,1,4,.250,1,2,.500,0,0,,1,0,1,2,0,1,2,2,3,+14
Beno Udrih\udrihbe01,19:32,6,10,.600,1,1,1.000,0,0,,0,2,2,5,0,0,0,2,13,+9
Aron Baynes\baynear01,17:58,6,8,.750,0,0,,1,2,.500,1,2,3,1,1,0,0,0,13,+11
Michael Gbinije\gbinimi01,4:57,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,1,0,-2
Boban Marjanovic\marjabo01,2:28,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-4
Henry Ellenson\ellenhe01,2:28,1,1,1.000,0,0,,0,0,,0,3,3,0,0,0,0,0,2,-4
Darrun Hilliard\hillida01,2:28,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,0,0,-4
Team Totals,240,48,95,.505,7,19,.368,5,6,.833,9,44,53,27,8,4,12,11,108,
