,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Aaron Gordon\gordoaa01,29:09,6,12,.500,1,2,.500,4,6,.667,3,4,7,0,2,0,1,3,17,-10
Elfrid Payton\paytoel01,27:37,6,13,.462,1,4,.250,2,2,1.000,1,4,5,6,2,0,3,0,15,-16
Evan Fournier\fournev01,27:18,4,12,.333,0,4,.000,0,1,.000,0,2,2,2,1,0,1,3,8,-10
Nikola Vucevic\vucevni01,26:00,3,12,.250,0,0,,1,2,.500,4,10,14,3,1,0,1,0,7,-13
Serge Ibaka\ibakase01,19:19,2,6,.333,0,0,,0,0,,2,1,3,0,0,1,1,0,4,-25
Mario Hezonja\hezonma01,24:22,5,15,.333,2,7,.286,1,1,1.000,0,2,2,1,2,0,1,0,13,-11
Bismack Biyombo\biyombi01,22:51,1,5,.200,0,0,,0,0,,1,2,3,0,0,1,1,1,2,-23
Jeff Green\greenje02,19:24,4,9,.444,2,6,.333,0,0,,0,2,2,1,0,1,0,3,10,-16
D.J. Augustin\augusdj01,15:58,1,5,.200,1,1,1.000,0,0,,0,0,0,4,0,0,0,1,3,-19
C.J. Wilcox\wilcocj01,12:00,1,3,.333,1,2,.500,0,0,,0,1,1,1,0,0,0,1,3,+9
C.J. Watson\watsocj01,8:01,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0,+2
Stephen Zimmerman\zimmest01,8:01,0,1,.000,0,0,,0,0,,2,2,4,1,0,0,0,0,0,+2
Damjan Rudez\rudezda01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,33,95,.347,8,26,.308,8,12,.667,14,30,44,20,8,3,9,13,82,
