,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Sergio Rodriguez\rodrise01,28:58,7,13,.538,0,2,.000,0,0,,1,3,4,5,1,0,4,1,14,-14
Dario Saric\saricda01,26:24,2,9,.222,1,3,.333,0,0,,0,4,4,2,0,0,1,1,5,-17
Robert Covington\covinro01,22:54,0,5,.000,0,5,.000,0,0,,0,1,1,1,3,0,4,1,0,-18
Gerald Henderson\hendege02,17:41,0,5,.000,0,1,.000,0,0,,0,1,1,1,1,0,0,0,0,-2
Joel Embiid\embiijo01,15:28,5,9,.556,1,1,1.000,3,4,.750,0,2,2,1,1,2,3,3,14,-3
Nik Stauskas\stausni01,28:51,2,7,.286,2,3,.667,0,0,,0,5,5,1,0,1,3,3,6,-20
Hollis Thompson\thompho01,20:11,1,4,.250,1,1,1.000,0,0,,0,5,5,0,0,0,0,2,3,-14
Richaun Holmes\holmeri01,19:32,5,8,.625,0,0,,0,0,,1,5,6,1,0,0,1,3,10,-24
Jerami Grant\grantje01,19:20,2,7,.286,0,1,.000,2,4,.500,0,3,3,0,0,2,1,3,6,-15
T.J. McConnell\mccontj01,19:02,2,5,.400,0,1,.000,2,3,.667,1,2,3,2,1,0,2,2,6,-18
Jahlil Okafor\okafoja01,15:16,2,7,.286,0,0,,4,4,1.000,1,3,4,1,1,0,0,1,8,-5
Timothe Luwawu-Cabarrot\luwawti01,6:23,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,1,0,0,-10
Team Totals,240,28,80,.350,5,18,.278,11,15,.733,4,35,39,16,9,5,20,20,72,
