,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jeremy Lin\linje01,32:51,4,16,.250,1,7,.143,3,5,.600,1,2,3,11,3,1,4,0,12,+12
Bojan Bogdanovic\bogdabo02,31:20,9,15,.600,2,6,.333,6,6,1.000,2,6,8,1,0,0,2,2,26,+9
Trevor Booker\booketr01,30:30,4,8,.500,0,2,.000,6,6,1.000,1,13,14,1,1,2,0,2,14,+13
Justin Hamilton\hamilju01,29:54,2,6,.333,2,4,.500,0,0,,1,2,3,1,3,2,1,3,6,-12
Rondae Hollis-Jefferson\holliro01,22:38,1,4,.250,0,1,.000,0,0,,1,4,5,1,0,1,4,3,2,-16
Sean Kilpatrick\kilpase01,23:49,5,9,.556,1,2,.500,4,5,.800,0,0,0,1,1,0,1,3,15,+5
Joe Harris\harrijo01,18:13,2,7,.286,1,4,.250,0,0,,0,2,2,1,1,0,2,1,5,-2
Luis Scola\scolalu01,18:06,5,5,1.000,2,2,1.000,2,2,1.000,5,3,8,2,1,0,1,2,14,+10
Anthony Bennett\bennean01,17:30,3,9,.333,2,5,.400,1,2,.500,0,1,1,3,1,0,1,3,9,-16
Isaiah Whitehead\whiteis01,8:22,1,1,1.000,0,0,,1,2,.500,0,0,0,1,1,0,2,3,3,-4
Greivis Vasquez\vasqugr01,6:47,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-9
Chris McCullough\mcculch01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Brook Lopez\lopezbr01,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Team Totals,240,37,84,.440,11,34,.324,23,28,.821,11,34,45,23,12,6,18,22,108,
