,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jimmy Butler\butleji01,25:56,6,9,.667,0,2,.000,4,4,1.000,2,3,5,3,1,0,0,2,16,+11
Taj Gibson\gibsota01,25:07,6,11,.545,0,0,,0,0,,0,8,8,1,1,0,0,1,12,+12
Rajon Rondo\rondora01,25:07,2,5,.400,0,2,.000,2,2,1.000,1,2,3,13,1,0,4,0,6,+12
Dwyane Wade\wadedw01,21:04,4,7,.571,0,0,,6,6,1.000,2,3,5,2,2,0,0,1,14,+16
Robin Lopez\lopezro01,18:44,5,7,.714,0,0,,2,2,1.000,2,4,6,2,0,2,0,3,12,+6
Doug McDermott\mcderdo01,26:36,9,14,.643,5,6,.833,0,0,,0,4,4,3,1,1,1,2,23,+8
Nikola Mirotic\mirotni01,25:56,3,9,.333,1,4,.250,1,1,1.000,1,2,3,2,0,1,0,0,8,+18
Michael Carter-Williams\cartemi01,22:53,2,8,.250,0,1,.000,3,4,.750,0,1,1,5,1,2,4,2,7,+5
Cristiano Felicio\feliccr01,19:30,3,5,.600,0,0,,1,2,.500,3,5,8,0,0,0,1,2,7,+5
Isaiah Canaan\canaais01,14:11,4,6,.667,3,5,.600,0,0,,0,0,0,2,1,0,0,1,11,+3
Bobby Portis\portibo01,6:43,1,4,.250,0,0,,0,0,,2,0,2,1,0,0,0,0,2,-7
Denzel Valentine\valende01,4:47,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,2,0,0,-4
Paul Zipser\zipsepa01,3:26,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0
Team Totals,240,45,86,.523,9,21,.429,19,21,.905,13,34,47,34,8,6,12,14,118,
