,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Jeff Teague\teaguje01,28:00,0,7,.000,0,1,.000,0,0,,1,3,4,8,2,0,2,1,0,-12
Monta Ellis\ellismo01,27:36,1,6,.167,0,1,.000,0,0,,0,2,2,5,0,0,3,0,2,-15
Thaddeus Young\youngth01,26:31,5,8,.625,0,2,.000,0,0,,1,4,5,3,2,0,1,0,10,-10
Paul George\georgpa01,23:37,8,12,.667,4,5,.800,0,0,,0,1,1,3,1,0,3,4,20,-6
Myles Turner\turnemy01,21:42,8,12,.667,0,0,,4,5,.800,1,3,4,2,0,3,1,2,20,-12
Joe Young\youngjo01,20:00,4,7,.571,2,3,.667,1,1,1.000,0,2,2,3,0,0,0,0,11,-5
C.J. Miles\milescj01,19:58,4,11,.364,1,2,.500,0,0,,0,1,1,2,1,2,0,2,9,-13
Glenn Robinson\robingl02,18:06,4,7,.571,0,2,.000,3,3,1.000,2,1,3,0,0,0,1,0,11,-7
Georges Niang\niangge01,15:50,2,5,.400,0,2,.000,0,0,,1,1,2,1,0,0,2,0,4,+8
Al Jefferson\jeffeal01,14:31,3,5,.600,0,0,,0,0,,1,2,3,2,0,0,0,2,6,-10
Kevin Seraphin\serapke01,11:47,4,6,.667,0,0,,0,0,,1,3,4,2,2,1,0,2,8,+5
Rakeem Christmas\chrisra01,6:43,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0,+7
Lavoy Allen\allenla01,5:39,0,1,.000,0,0,,0,0,,0,1,1,2,0,1,0,2,0,-15
Team Totals,240,43,88,.489,7,18,.389,8,9,.889,8,25,33,34,8,7,13,16,101,
