,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Marc Gasol\gasolma01,30:55,.527,.367,.267,.600,6.8,17.7,11.5,15.9,0.0,2.8,5.0,28.3,119,115
JaMychal Green\greenja01,30:27,.417,.417,.250,.000,3.4,31.5,15.6,0.0,0.0,2.9,0.0,17.3,92,112
James Ennis\ennisja01,27:07,.870,.857,.429,.714,3.8,15.2,8.7,6.3,0.0,0.0,9.8,16.5,158,117
Andrew Harrison\harrian01,24:39,.400,.400,.400,.000,0.0,0.0,0.0,11.8,0.0,0.0,28.6,12.5,69,119
Mike Conley\conlemi01,23:36,.511,.444,.111,.444,8.8,17.4,12.6,35.2,0.0,0.0,27.1,27.4,94,117
Vince Carter\cartevi01,25:28,.625,.625,.750,.000,4.1,10.8,7.0,5.7,0.0,0.0,0.0,6.9,141,118
Wade Baldwin\baldwwa01,21:43,.625,.625,.250,.000,0.0,12.6,5.5,20.4,0.0,0.0,33.3,12.1,95,118
Zach Randolph\randoza01,21:07,.437,.393,.071,.143,9.9,45.5,25.3,17.7,0.0,0.0,6.3,33.0,98,113
Jarell Martin\martija01,12:40,.658,.667,.222,.222,16.5,10.8,14.0,0.0,3.9,0.0,9.2,37.7,118,108
Troy Daniels\danietr01,12:06,.340,.200,.600,.400,0.0,0.0,0.0,12.0,0.0,0.0,0.0,21.3,86,119
Troy Williams\willitr02,9:16,.521,.750,1.000,1.000,0.0,0.0,0.0,16.3,10.7,0.0,0.0,13.6,110,97
Deyonta Davis\davisde01,0:56,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120
Tony Allen\allento01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,.534,.483,.291,.302,23.9,82.9,49.4,51.4,3.1,3.6,11.0,100.0,107.9,115.1
