,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Marc Gasol\gasolma01,30:55,5,15,.333,1,4,.250,9,9,1.000,2,4,6,3,0,1,1,3,20,-10
JaMychal Green\greenja01,30:27,5,12,.417,0,3,.000,0,0,,1,7,8,0,0,1,0,6,10,-14
James Ennis\ennisja01,27:07,5,7,.714,2,3,.667,4,5,.800,1,3,4,1,0,0,1,3,16,+8
Andrew Harrison\harrian01,24:39,2,5,.400,0,2,.000,0,0,,0,0,0,2,0,0,2,2,4,0
Mike Conley\conlemi01,23:36,4,9,.444,0,1,.000,3,4,.750,2,3,5,5,0,0,4,2,11,-18
Vince Carter\cartevi01,25:28,2,4,.500,1,3,.333,0,0,,1,2,3,1,0,0,0,2,5,-10
Wade Baldwin\baldwwa01,21:43,2,4,.500,1,1,1.000,0,0,,0,2,2,3,0,0,2,1,5,-10
Zach Randolph\randoza01,21:07,5,14,.357,1,1,1.000,2,2,1.000,2,7,9,2,0,0,1,3,13,+8
Jarell Martin\martija01,12:40,5,9,.556,2,2,1.000,1,2,.500,2,1,3,0,1,0,1,5,13,0
Troy Daniels\danietr01,12:06,1,5,.200,0,3,.000,2,2,1.000,0,0,0,1,0,0,0,2,4,-2
Troy Williams\willitr02,9:16,1,2,.500,1,2,.500,0,2,.000,0,0,0,1,2,0,0,1,3,+10
Deyonta Davis\davisde01,0:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
Tony Allen\allento01,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,37,86,.430,9,25,.360,21,26,.808,11,29,40,19,3,2,12,30,104,
