,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Kristaps Porzingis\porzikr01,36:22,.723,.682,.364,.727,0.0,14.3,8.1,8.6,0.0,2.2,0.0,18.2,149,110
Carmelo Anthony\anthoca01,35:31,.493,.367,.333,.800,0.0,17.6,10.0,20.3,0.0,0.0,12.9,29.9,98,110
Courtney Lee\leeco01,33:37,.673,.636,.364,.182,0.0,9.3,5.3,4.5,1.5,0.0,0.0,16.1,135,110
Derrick Rose\rosede01,32:16,.468,.462,.077,.154,4.3,9.7,7.3,14.4,3.1,2.4,0.0,19.6,106,104
Joakim Noah\noahjo01,21:50,.647,1.000,.000,3.000,6.3,43.0,27.1,43.2,0.0,3.6,46.3,18.1,97,99
Justin Holiday\holidju01,19:24,.571,.571,.286,.000,0.0,0.0,0.0,8.2,0.0,4.1,0.0,16.5,116,113
Kyle O'Quinn\oquinky01,18:48,.681,.600,.000,1.400,14.6,22.2,18.9,15.8,0.0,0.0,11.0,22.0,137,109
Lance Thomas\thomala01,18:38,.600,.600,.200,.000,7.4,11.2,9.5,0.0,0.0,0.0,0.0,12.2,125,112
Brandon Jennings\jennibr01,15:44,.750,.750,1.000,.000,0.0,13.3,7.5,27.0,3.2,0.0,33.3,17.4,106,105
Willy Hernangomez\hernawi01,7:51,.515,.667,.000,.667,17.5,13.3,15.1,0.0,0.0,0.0,34.0,34.2,67,112
Sasha Vujacic\vujacsa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mindaugas Kuzminskas\kuzmimi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Maurice Ndour\ndourma01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.596,.566,.276,.513,17.1,76.1,50.6,60.0,4.1,6.6,11.4,100.0,115.1,107.9
