,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Kristaps Porzingis\porzikr01,36:22,7,11,.636,1,4,.250,6,8,.750,0,5,5,2,0,1,0,5,21,+14
Carmelo Anthony\anthoca01,35:31,5,15,.333,1,5,.200,9,12,.750,0,6,6,5,0,0,3,2,20,+13
Courtney Lee\leeco01,33:37,6,11,.545,2,4,.500,2,2,1.000,0,3,3,1,1,0,0,1,16,+4
Derrick Rose\rosede01,32:16,6,13,.462,0,1,.000,1,2,.500,1,3,4,3,2,1,0,2,13,+7
Joakim Noah\noahjo01,21:50,2,2,1.000,0,0,,2,6,.333,1,9,10,7,0,1,4,6,6,+17
Justin Holiday\holidju01,19:24,4,7,.571,0,2,.000,0,0,,0,0,0,1,0,1,0,3,8,+1
Kyle O'Quinn\oquinky01,18:48,3,5,.600,0,0,,5,7,.714,2,4,6,2,0,0,1,4,11,-1
Lance Thomas\thomala01,18:38,3,5,.600,0,1,.000,0,0,,1,2,3,0,0,0,0,1,6,-10
Brandon Jennings\jennibr01,15:44,2,4,.500,2,4,.500,0,0,,0,2,2,3,1,0,2,1,6,0
Willy Hernangomez\hernawi01,7:51,2,3,.667,0,0,,0,2,.000,1,1,2,0,0,0,2,0,4,-10
Mindaugas Kuzminskas\kuzmimi01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Sasha Vujacic\vujacsa01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Maurice Ndour\ndourma01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,76,.526,6,21,.286,25,39,.641,6,35,41,24,4,4,12,25,111,
