,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg
Ty Lawson\lawsoty01,33:40,.400,.400,.500,.000,0.0,5.3,2.1,20.5,4.8,0.0,16.7,15.7,88,113
Rudy Gay\gayru01,33:12,.595,.550,.000,.400,7.2,21.4,12.9,12.5,1.6,6.0,7.8,33.8,118,113
DeMarcus Cousins\couside01,32:31,.654,.563,.125,.875,18.5,10.9,15.4,23.0,1.7,0.0,11.9,34.1,131,118
Arron Afflalo\afflaar01,30:12,.417,.417,.667,.000,0.0,0.0,0.0,8.9,0.0,3.3,0.0,8.7,104,122
Kosta Koufos\koufoko01,19:50,.400,.400,.000,.000,18.2,35.9,25.3,0.0,0.0,0.0,28.6,15.5,78,118
Matt Barnes\barnema02,27:11,.551,.550,.600,.200,0.0,32.7,13.2,49.8,2.0,3.7,15.5,20.9,118,111
Ben McLemore\mclembe01,17:48,.623,.600,.400,.100,0.0,0.0,0.0,0.0,0.0,0.0,8.7,28.3,111,124
Garrett Temple\templga01,14:17,.500,.500,1.000,.000,0.0,0.0,0.0,0.0,0.0,7.0,25.0,12.3,73,120
Anthony Tolliver\tollian01,13:16,.000,.000,1.000,.000,9.0,13.4,10.8,18.6,0.0,0.0,0.0,3.3,117,122
Omri Casspi\casspom01,9:46,.000,.000,1.000,.000,0.0,54.6,22.0,0.0,0.0,0.0,0.0,4.5,0,115
Willie Cauley-Stein\caulewi01,8:18,.667,.667,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,131,124
Darren Collison\collida01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Malachi Richardson\richama01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,.552,.512,.306,.294,27.5,74.1,46.3,61.5,6.7,10.4,11.9,100.0,118.6,115.3
