,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Ty Lawson\lawsoty01,33:40,3,10,.300,2,5,.400,0,0,,0,1,1,5,3,0,2,2,8,-4
Rudy Gay\gayru01,33:12,11,20,.550,0,0,,6,8,.750,2,4,6,2,1,2,2,3,28,+15
DeMarcus Cousins\couside01,32:31,9,16,.563,0,2,.000,11,14,.786,5,2,7,4,1,0,3,6,29,+14
Arron Afflalo\afflaar01,30:12,2,6,.333,1,4,.250,0,0,,0,0,0,2,0,1,0,2,5,+18
Kosta Koufos\koufoko01,19:50,2,5,.400,0,0,,0,0,,3,4,7,0,0,0,2,3,4,-9
Matt Barnes\barnema02,27:11,4,10,.400,3,6,.500,1,2,.500,0,5,5,9,1,1,2,4,12,+8
Ben McLemore\mclembe01,17:48,5,10,.500,2,4,.500,1,1,1.000,0,0,0,0,0,0,1,1,13,-15
Garrett Temple\templga01,14:17,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,1,1,0,3,+7
Anthony Tolliver\tollian01,13:16,0,1,.000,0,1,.000,0,0,,1,1,2,2,0,0,0,1,0,-9
Omri Casspi\casspom01,9:46,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,1,0,+1
Willie Cauley-Stein\caulewi01,8:18,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,1,4,-11
Malachi Richardson\richama01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Darren Collison\collida01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,85,.459,9,26,.346,19,25,.760,11,20,31,24,6,5,13,24,106,
